date,fund,company,ticker,cusip,weight (%)
03/31/2026,ARKSX,SpaceX,,,17.02%
03/31/2026,ARKSX,OpenAI,,,11.49%
03/31/2026,ARKSX,"Replit, Inc.",,,4.73%
03/31/2026,ARKSX,Figure AI Inc.,,,4.05%
03/31/2026,ARKSX,"Anthropic, Inc.",,,3.54%
03/31/2026,ARKSX,"Databricks, Inc.",,,3.16%
03/31/2026,ARKSX,Zipline International Inc.,,,2.92%
03/31/2026,ARKSX,Ayar Labs,,,2.72%
03/31/2026,ARKSX,"Radiant Industries, Inc",,,2.69%
03/31/2026,ARKSX,"Boom Technology, Inc.",,,2.66%
03/31/2026,ARKSX,Neuralink Corp.,,,2.62%
03/31/2026,ARKSX,Manna Drone Delivery Inc.,,,2.18%
03/31/2026,ARKSX,Tenstorrent Holdings Inc.,,,2.16%
03/31/2026,ARKSX,"Epic Games, Inc",,,1.94%
03/31/2026,ARKSX,"Iambic Therapeutics, Inc.",,,1.92%
03/31/2026,ARKSX,Lambda,,,1.90%
03/31/2026,ARKSX,Canton Strategic Holdings,CNTN,432705309,1.69%
03/31/2026,ARKSX,Shield AI,,,1.64%
03/31/2026,ARKSX,"Securitize, Inc.",,,1.58%
03/31/2026,ARKSX,Lucra Inc.,,,1.57%
03/31/2026,ARKSX,"Apptronik, Inc.",,,1.56%
03/31/2026,ARKSX,Crusoe Inc,,,1.56%
03/31/2026,ARKSX,Kalshi Inc.,,,1.45%
03/31/2026,ARKSX,"X-energy Reactor Company, LLC",,,1.40%
03/31/2026,ARKSX,CRISPR Therapeutics AG,CRSP,H17182108,1.30%
03/31/2026,ARKSX,Beam Therapeutics,BEAM,07373V105,1.27%
03/31/2026,ARKSX,"Kodiak Robotics, Inc.",KDK,500081104,1.08%
03/31/2026,ARKSX,Absci,ABSI,00091E109,0.91%
03/31/2026,ARKSX,Discord Inc.,,,0.87%
03/31/2026,ARKSX,"Hammerspace, Inc.",,,0.87%
03/31/2026,ARKSX,Impulse Labs Inc.,,,0.79%
03/31/2026,ARKSX,"Tesla, Inc.",TSLA,88160R101,0.78%
03/31/2026,ARKSX,Prime Medicine,PRME,74168J101,0.75%
03/31/2026,ARKSX,Architect Financial Technologies Inc.,,,0.62%
03/31/2026,ARKSX,Tempus AI,TEM,88023B103,0.61%
03/31/2026,ARKSX,"Mythical, Inc.",,,0.60%
03/31/2026,ARKSX,"Robinhood Markets, Inc.",HOOD,770700102,0.57%
03/31/2026,ARKSX,"Perplexity AI, Inc.",,,0.56%
03/31/2026,ARKSX,"Blockdaemon, inc.",,,0.54%
03/31/2026,ARKSX,Twist Biosciences,TWST,90184D100,0.52%
03/31/2026,ARKSX,Revolut Group Holdings LTD,,,0.51%
03/31/2026,ARKSX,"Lila Sciences, Inc.",,,0.50%
03/31/2026,ARKSX,Relation Therapeutics Inc.,,,0.50%
03/31/2026,ARKSX,"10x Genomics, Inc.",TXG,88025U109,0.49%
03/31/2026,ARKSX,Intellia Therapeutics,NTLA,45826J105,0.48%
03/31/2026,ARKSX,"Groq, Inc.",,,0.47%
03/31/2026,ARKSX,Umoja Biopharma,,,0.42%
03/31/2026,ARKSX,"Coinbase Global, Inc.",COIN,19260Q107,0.37%
