date,fund,company,ticker,cusip,weight,shares_held,market_value
2019-02-07,ARKF,XYZ US Equity,XYZ,852234103,8.4661,49838,3585844.1
2019-02-07,ARKF,TCEHY US Equity,TCEHY,88032Q109,6.1232,59078,2593524.2
2019-02-07,ARKF,TREE US Equity,TREE,52603B107,6.1157,8440,2590320.4
2019-02-07,ARKF,AAPL US Equity,AAPL,037833100,5.0529,50080,2140168.8
2019-02-07,ARKF,MVRXX US Equity,MVRXX,61747C707,4.7386,2007046.58,2007046.58
2019-02-07,ARKF,AMZN US Equity,AMZN,023135106,4.5738,24000,1937244
2019-02-07,ARKF,PYPL US Equity,PYPL,70450Y103,3.8781,18080,1642568
2019-02-07,ARKF,Z US Equity,Z,98954M200,3.8083,47082,1613029.32
2019-02-07,ARKF,BIDU US Equity,BIDU,056752108,3.8079,9400,1612852
2019-02-07,ARKF,BABA US Equity,BABA,01609W102,3.4215,8680,1449212.8
2019-02-07,ARKF,SPLK US Equity,SPLK,848637104,3.2328,10680,1369282.8
2019-02-07,ARKF,CRM US Equity,CRM,79466L302,3.175,8680,1344792.4
2019-02-07,ARKF,NVDA US Equity,NVDA,67066G104,3.0768,353600,1303192.8
2019-02-07,ARKF,GWRE US Equity,GWRE,40171V100,2.9624,13640,1254743.6
2019-02-07,ARKF,LC US Equity,LC,52603A208,2.7143,69886.8,1149637.86
2019-02-07,ARKF,3938 JP Equity,3938,,2.5754,29587,1090827.04
2019-02-07,ARKF,MDSO US Equity,MDSO,58471A105,2.5714,14800,1089132
2019-02-07,ARKF,6060 HK Equity,6060,,2.3939,292000,1013927.65
2019-02-07,ARKF,VRSK US Equity,VRSK,92345Y106,2.2713,8000,962000
2019-02-07,ARKF,INTU US Equity,INTU,461202103,2.1285,4080,901557.6
2019-02-07,ARKF,SHOP CN Equity,SHOP,82509L107,2.1197,52260,897826.8
2019-02-07,ARKF,3690 HK Equity,3690,,2.1045,128000,891369.45
2019-02-07,ARKF,8473 JP Equity,8473,,2.0814,44000,881602.18
2019-02-07,ARKF,4755 JP Equity,4755,,1.9474,112000,824833.86
2019-02-07,ARKF,MELI US Equity,MELI,58733R102,1.8944,2240,802368
2019-02-07,ARKF,ICE US Equity,ICE,45866F104,1.8337,10280,776654
2019-02-07,ARKF,ADYEN NA Equity,ADYEN,,1.7911,1040,758633.21
2019-02-07,ARKF,TSM US Equity,TSM,874039100,1.4438,16042,611521.04
2019-02-07,ARKF,IBKR US Equity,IBKR,45841N107,1.3564,45768,574502.82
2019-02-07,ARKF,TRU US Equity,TRU,89400J107,1.1984,8240,507584
2019-02-07,ARKF,FSR SJ Equity,FSR,,1.1075,95396,469103.27
2019-02-07,ARKF,SCHW US Equity,SCHW,808513105,1.0838,10160,459028.8
2019-02-07,ARKF,WDI GR Equity,WDI,,1.056,3560,447281.84
2019-02-07,ARKF,HDB US Equity,HDB,40415F101,0.9595,16160,406383.6
2019-02-07,ARKF,NDAQ US Equity,NDAQ,631103108,0.9347,13680,395899.2
2019-02-07,ARKF,USD Curncy,USD,,0,0,0
2019-02-08,ARKF,XYZ US Equity,XYZ,852234103,8.6302,49838,3662594.62
2019-02-08,ARKF,TCEHY US Equity,TCEHY,88032Q109,6.1571,59078,2613019.94
2019-02-08,ARKF,TREE US Equity,TREE,52603B107,5.9646,8440,2531324.8
2019-02-08,ARKF,AAPL US Equity,AAPL,037833100,5.0273,50080,2133533.2
2019-02-08,ARKF,MVRXX US Equity,MVRXX,61747C707,4.7548,2017912.4,2017912.4
2019-02-08,ARKF,AMZN US Equity,AMZN,023135106,4.4908,24000,1905864
2019-02-08,ARKF,Z US Equity,Z,98954M200,3.9317,47082,1668586.08
2019-02-08,ARKF,PYPL US Equity,PYPL,70450Y103,3.9139,18080,1661009.6
2019-02-08,ARKF,BIDU US Equity,BIDU,056752108,3.7632,9400,1597060
2019-02-08,ARKF,BABA US Equity,BABA,01609W102,3.423,8680,1452684.8
2019-02-08,ARKF,SPLK US Equity,SPLK,848637104,3.2939,10680,1397905.2
2019-02-08,ARKF,CRM US Equity,CRM,79466L302,3.2043,8680,1359895.6
2019-02-08,ARKF,NVDA US Equity,NVDA,67066G104,3.0864,353600,1309822.8
2019-02-08,ARKF,GWRE US Equity,GWRE,40171V100,2.9967,13640,1271793.6
2019-02-08,ARKF,LC US Equity,LC,52603A208,2.783,69886.8,1181086.92
2019-02-08,ARKF,MDSO US Equity,MDSO,58471A105,2.552,14800,1083064
2019-02-08,ARKF,3938 JP Equity,3938,,2.4988,29587,1060480.44
2019-02-08,ARKF,6060 HK Equity,6060,,2.3409,292000,993475.71
2019-02-08,ARKF,VRSK US Equity,VRSK,92345Y106,2.2994,8000,975840
2019-02-08,ARKF,3690 HK Equity,3690,,2.2253,128000,944390.64
2019-02-08,ARKF,SHOP CN Equity,SHOP,82509L107,2.1667,52260,919514.7
2019-02-08,ARKF,INTU US Equity,INTU,461202103,2.1615,4080,917306.4
2019-02-08,ARKF,8473 JP Equity,8473,,2.0096,44000,852866.97
2019-02-08,ARKF,4755 JP Equity,4755,,1.9087,112000,810019.58
2019-02-08,ARKF,ICE US Equity,ICE,45866F104,1.8448,10280,782924.8
2019-02-08,ARKF,MELI US Equity,MELI,58733R102,1.8358,2240,779116.8
2019-02-08,ARKF,ADYEN NA Equity,ADYEN,,1.7732,1040,752529.32
2019-02-08,ARKF,TSM US Equity,TSM,874039100,1.4285,16042,606227.18
2019-02-08,ARKF,IBKR US Equity,IBKR,45841N107,1.3604,45768,577363.32
2019-02-08,ARKF,TRU US Equity,TRU,89400J107,1.2026,8240,510385.6
2019-02-08,ARKF,FSR SJ Equity,FSR,,1.0892,95396,462228.94
2019-02-08,ARKF,SCHW US Equity,SCHW,808513105,1.0716,10160,454761.6
2019-02-08,ARKF,HDB US Equity,HDB,40415F101,0.9547,16160,405171.6
2019-02-08,ARKF,NDAQ US Equity,NDAQ,631103108,0.9354,13680,396993.6
2019-02-08,ARKF,WDI GR Equity,WDI,,0.9199,3560,390405.33
2019-02-08,ARKF,USD Curncy,USD,,0,0.01,0
2019-02-11,ARKF,XYZ US Equity,XYZ,852234103,8.6302,49838,3662594.62
2019-02-11,ARKF,TCEHY US Equity,TCEHY,88032Q109,6.1571,59078,2613019.94
2019-02-11,ARKF,TREE US Equity,TREE,52603B107,5.9646,8440,2531324.8
2019-02-11,ARKF,AAPL US Equity,AAPL,037833100,5.0273,50080,2133533.2
2019-02-11,ARKF,MVRXX US Equity,MVRXX,61747C707,4.7548,2017912.4,2017912.4
2019-02-11,ARKF,AMZN US Equity,AMZN,023135106,4.4908,24000,1905864
2019-02-11,ARKF,Z US Equity,Z,98954M200,3.9317,47082,1668586.08
2019-02-11,ARKF,PYPL US Equity,PYPL,70450Y103,3.9139,18080,1661009.6
2019-02-11,ARKF,BIDU US Equity,BIDU,056752108,3.7632,9400,1597060
2019-02-11,ARKF,BABA US Equity,BABA,01609W102,3.423,8680,1452684.8
2019-02-11,ARKF,SPLK US Equity,SPLK,848637104,3.2939,10680,1397905.2
2019-02-11,ARKF,CRM US Equity,CRM,79466L302,3.2043,8680,1359895.6
2019-02-11,ARKF,NVDA US Equity,NVDA,67066G104,3.0864,353600,1309822.8
2019-02-11,ARKF,GWRE US Equity,GWRE,40171V100,2.9967,13640,1271793.6
2019-02-11,ARKF,LC US Equity,LC,52603A208,2.783,69886.8,1181086.92
2019-02-11,ARKF,MDSO US Equity,MDSO,58471A105,2.552,14800,1083064
2019-02-11,ARKF,3938 JP Equity,3938,,2.4988,29587,1060480.44
2019-02-11,ARKF,6060 HK Equity,6060,,2.3409,292000,993475.71
2019-02-11,ARKF,VRSK US Equity,VRSK,92345Y106,2.2994,8000,975840
2019-02-11,ARKF,3690 HK Equity,3690,,2.2253,128000,944390.64
2019-02-11,ARKF,SHOP CN Equity,SHOP,82509L107,2.1667,52260,919514.7
2019-02-11,ARKF,INTU US Equity,INTU,461202103,2.1615,4080,917306.4
2019-02-11,ARKF,8473 JP Equity,8473,,2.0096,44000,852866.97
2019-02-11,ARKF,4755 JP Equity,4755,,1.9087,112000,810019.58
2019-02-11,ARKF,ICE US Equity,ICE,45866F104,1.8448,10280,782924.8
2019-02-11,ARKF,MELI US Equity,MELI,58733R102,1.8358,2240,779116.8
2019-02-11,ARKF,ADYEN NA Equity,ADYEN,,1.7732,1040,752529.32
2019-02-11,ARKF,TSM US Equity,TSM,874039100,1.4285,16042,606227.18
2019-02-11,ARKF,IBKR US Equity,IBKR,45841N107,1.3604,45768,577363.32
2019-02-11,ARKF,TRU US Equity,TRU,89400J107,1.2026,8240,510385.6
2019-02-11,ARKF,FSR SJ Equity,FSR,,1.0892,95396,462228.94
2019-02-11,ARKF,SCHW US Equity,SCHW,808513105,1.0716,10160,454761.6
2019-02-11,ARKF,HDB US Equity,HDB,40415F101,0.9547,16160,405171.6
2019-02-11,ARKF,NDAQ US Equity,NDAQ,631103108,0.9354,13680,396993.6
2019-02-11,ARKF,WDI GR Equity,WDI,,0.9199,3560,390405.33
2019-02-11,ARKF,USD Curncy,USD,,0,0.01,0
2019-02-12,ARKF,XYZ US Equity,XYZ,852234103,9.1788,52332,3955775.88
2019-02-12,ARKF,TCEHY US Equity,TCEHY,88032Q109,6.4227,62034,2767957.08
2019-02-12,ARKF,TREE US Equity,TREE,52603B107,6.2666,8862,2700694.5
2019-02-12,ARKF,AAPL US Equity,AAPL,037833100,5.2135,52592,2246861.72
2019-02-12,ARKF,AMZN US Equity,AMZN,023135106,4.5913,24160,1978716.08
2019-02-12,ARKF,Z US Equity,Z,98954M200,4.1286,49438,1779273.62
2019-02-12,ARKF,BIDU US Equity,BIDU,056752108,3.8998,9872,1680708
2019-02-12,ARKF,PYPL US Equity,PYPL,70450Y103,3.8648,17648,1665618.24
2019-02-12,ARKF,BABA US Equity,BABA,01609W102,3.5686,9116,1537960.36
2019-02-12,ARKF,SPLK US Equity,SPLK,848637104,3.4944,11216,1505972.32
2019-02-12,ARKF,NVDA US Equity,NVDA,67066G104,3.2565,371360,1403462.28
2019-02-12,ARKF,CRM US Equity,CRM,79466L302,3.2545,8616,1402598.64
2019-02-12,ARKF,LC US Equity,LC,52603A208,3.0138,73382,1298861.4
2019-02-12,ARKF,GWRE US Equity,GWRE,40171V100,2.9821,13456,1285182.56
2019-02-12,ARKF,MDSO US Equity,MDSO,58471A105,2.5958,15542,1118713.16
2019-02-12,ARKF,3938 JP Equity,3938,,2.5838,30987,1113540.53
2019-02-12,ARKF,6060 HK Equity,6060,,2.5335,306600,1091860.87
2019-02-12,ARKF,3690 HK Equity,3690,,2.3781,134400,1024888.83
2019-02-12,ARKF,VRSK US Equity,VRSK,92345Y106,2.219,7731,956324.7
2019-02-12,ARKF,8473 JP Equity,8473,,2.1377,46200,921281.74
2019-02-12,ARKF,INTU US Equity,INTU,461202103,2.082,3919,897294.24
2019-02-12,ARKF,4755 JP Equity,4755,,2.0155,117600,868627.29
2019-02-12,ARKF,ADYEN NA Equity,ADYEN,,1.8689,1092,805419.6
2019-02-12,ARKF,TWTR US Equity,TWTR,90184L102,1.7135,24300,738477
2019-02-12,ARKF,MELI US Equity,MELI,58733R102,1.6951,2007,730548
2019-02-12,ARKF,SHOP CN Equity,SHOP,82509L107,1.5507,38070,668318.85
2019-02-12,ARKF,ICE US Equity,ICE,45866F104,1.5114,8556,651368.28
2019-02-12,ARKF,TSM US Equity,TSM,874039100,1.5104,16846,650929.44
2019-02-12,ARKF,IBKR US Equity,IBKR,45841N107,1.4337,48064,617862.72
2019-02-12,ARKF,TRU US Equity,TRU,89400J107,1.2703,8654,547452.04
2019-02-12,ARKF,SCHW US Equity,SCHW,808513105,1.1359,10670,489539.6
2019-02-12,ARKF,FSR SJ Equity,FSR,,1.1047,100168,476079.78
2019-02-12,ARKF,HDB US Equity,HDB,40415F101,1.0039,16968,432641.58
2019-02-12,ARKF,WDI GR Equity,WDI,,1.001,3738,431405.44
2019-02-12,ARKF,NDAQ US Equity,NDAQ,631103108,0.9729,14364,419285.16
2019-02-12,ARKF,MVRXX US Equity,MVRXX,61747C707,0.546,235287.22,235287.22
2019-02-12,ARKF,USD Curncy,USD,,0,0,0
2019-02-13,ARKF,XYZ US Equity,XYZ,852234103,9.179,53578,4052104.14
2019-02-13,ARKF,TCEHY US Equity,TCEHY,88032Q109,6.31,63511,2785592.46
2019-02-13,ARKF,TREE US Equity,TREE,52603B107,6.1076,8722,2696231.86
2019-02-13,ARKF,AAPL US Equity,AAPL,037833100,5.1892,53844,2290792.98
2019-02-13,ARKF,AMZN US Equity,AMZN,023135106,4.5954,24740,2028680
2019-02-13,ARKF,Z US Equity,Z,98954M200,4.1035,50615,1811510.85
2019-02-13,ARKF,BIDU US Equity,BIDU,056752108,3.9796,10107,1756798.74
2019-02-13,ARKF,PYPL US Equity,PYPL,70450Y103,3.8479,18069,1698666.69
2019-02-13,ARKF,BABA US Equity,BABA,01609W102,3.5814,9333,1581010.2
2019-02-13,ARKF,NVDA US Equity,NVDA,67066G104,3.2917,380200,1453124.4
2019-02-13,ARKF,SPLK US Equity,SPLK,848637104,3.233,10666,1427217.46
2019-02-13,ARKF,CRM US Equity,CRM,79466L302,3.2054,8822,1415048.8
2019-02-13,ARKF,LC US Equity,LC,52603A208,3.0208,75129.6,1333550.4
2019-02-13,ARKF,GWRE US Equity,GWRE,40171V100,2.8908,13777,1276163.51
2019-02-13,ARKF,3938 JP Equity,3938,,2.7062,31687,1194685.54
2019-02-13,ARKF,6060 HK Equity,6060,,2.6227,313900,1157786.07
