date,fund,company,ticker,cusip,weight,shares_held,market_value
2014-10-23,ARKW,1885807D US Equity,1885807D,04685W103,5.4952,3239,375853.56
2014-10-23,ARKW,AAPL US Equity,AAPL,037833100,5.2555,13716,359462.07
2014-10-23,ARKW,NFLX US Equity,NFLX,64110L106,4.6146,5768,315624.96
2014-10-23,ARKW,META US Equity,META,30303M102,4.6025,3933,314797.32
2014-10-23,ARKW,NVDA US Equity,NVDA,67066G104,4.5551,681560,311558.12
2014-10-23,ARKW,CRM US Equity,CRM,79466L302,4.3826,5179,299760.52
2014-10-23,ARKW,N US Equity,N,64118Q107,4.1965,3086,287028.86
2014-10-23,ARKW,TCEHY US Equity,TCEHY,88032Q109,4.1804,18459,285929.91
2014-10-23,ARKW,TWTR US Equity,TWTR,90184L102,4.0609,5592,277754.64
2014-10-23,ARKW,AMZN US Equity,AMZN,023135106,3.5166,15360,240522.24
2014-10-23,ARKW,LNKD US Equity,LNKD,53578A108,3.3357,1126,228150.12
2014-10-23,ARKW,RHT US Equity,RHT,756577102,2.9566,3643,202222.93
2014-10-23,ARKW,SPLK US Equity,SPLK,848637104,2.8543,3263,195225.29
2014-10-23,ARKW,GOOG US Equity,GOOG,02079K107,2.8314,7139.548,193656.88
2014-10-23,ARKW,CSOD US Equity,CSOD,21925Y103,2.6757,5529,183009.9
2014-10-23,ARKW,BABA US Equity,BABA,01609W102,2.6569,1924,181721.8
2014-10-23,ARKW,QCOM US Equity,QCOM,747525103,2.5366,2309,173498.26
2014-10-23,ARKW,INTU US Equity,INTU,461202103,2.4608,2015,168312.95
2014-10-23,ARKW,DATA US Equity,DATA,87336U105,2.3649,2155,161754.3
2014-10-23,ARKW,SCHW US Equity,SCHW,808513105,2.2823,5884,156102.52
2014-10-23,ARKW,ADSK US Equity,ADSK,052769106,2.2298,2848,152510.4
2014-10-23,ARKW,2513109D US Equity,2513109D,46123D205,2.1415,6838,146469.96
2014-10-23,ARKW,TSM US Equity,TSM,874039100,2.1186,6803,144903.9
2014-10-23,ARKW,TCOM US Equity,TCOM,89677Q107,2.0821,4996,142410.98
2014-10-23,ARKW,CAR US Equity,CAR,053774105,2.0306,2648,138887.6
2014-10-23,ARKW,DIS US Equity,DIS,254687106,2.0249,1574,138496.26
2014-10-23,ARKW,2556780D US Equity,2556780D,042068106,1.9159,3315,131041.95
2014-10-23,ARKW,YELP US Equity,YELP,985817105,1.9116,2287,130747.79
2014-10-23,ARKW,AKAM US Equity,AKAM,00971T101,1.8297,2295,125146.35
2014-10-23,ARKW,MELI US Equity,MELI,58733R102,1.4493,923,99130.2
2014-10-23,ARKW,CRAY US Equity,CRAY,225223304,1.1542,2687,78944.06
2014-10-23,ARKW,PANW US Equity,PANW,697435105,1.0981,4194,75107.55
2014-10-23,ARKW,MVRXX US Equity,MVRXX,61747C707,1.0605,72532.87,72532.87
2014-10-23,ARKW,WDAY US Equity,WDAY,98138H101,1.0428,832,71327.36
2014-10-23,ARKW,BKNG US Equity,BKNG,09857L108,1.0087,61,68989.78
2014-10-23,ARKW,ADBE US Equity,ADBE,00724F101,0.9705,1007,66381.44
2014-10-23,ARKW,MDSO US Equity,MDSO,58471A105,0.9524,1532,65140.64
2014-10-23,ARKW,NXPI US Equity,NXPI,,0.9055,965,61933.7
2014-10-23,ARKW,CAMPQ US Equity,CAMPQ,128126208,0.2583,41.3478,17669.58
2014-10-23,ARKW,USD Curncy,USD,,0,-12.27,0
2014-10-24,ARKW,1885807D US Equity,1885807D,04685W103,5.526,3239,382104.83
2014-10-24,ARKW,AAPL US Equity,AAPL,037833100,4.9226,12940,340386.7
2014-10-24,ARKW,N US Equity,N,64118Q107,4.6241,3086,319740.46
2014-10-24,ARKW,META US Equity,META,30303M102,4.5884,3933,317275.11
2014-10-24,ARKW,NFLX US Equity,NFLX,64110L106,4.5881,5768,317256.48
2014-10-24,ARKW,NVDA US Equity,NVDA,67066G104,4.5538,681560,314880.72
2014-10-24,ARKW,CRM US Equity,CRM,79466L302,4.4617,5179,308513.03
2014-10-24,ARKW,TCEHY US Equity,TCEHY,88032Q109,4.1111,18459,284268.6
2014-10-24,ARKW,TWTR US Equity,TWTR,90184L102,4.0395,5592,279320.4
2014-10-24,ARKW,LNKD US Equity,LNKD,53578A108,3.291,1126,227564.6
2014-10-24,ARKW,AMZN US Equity,AMZN,023135106,3.1883,15360,220462.08
2014-10-24,ARKW,SPLK US Equity,SPLK,848637104,2.9842,3263,206352.12
2014-10-24,ARKW,RHT US Equity,RHT,756577102,2.9514,3643,204080.86
2014-10-24,ARKW,GOOG US Equity,GOOG,02079K107,2.779,7139.548,192161.68
2014-10-24,ARKW,CSOD US Equity,CSOD,21925Y103,2.6891,5529,185940.27
2014-10-24,ARKW,BABA US Equity,BABA,01609W102,2.6645,1924,184242.24
2014-10-24,ARKW,QCOM US Equity,QCOM,747525103,2.5378,2309,175484
2014-10-24,ARKW,YELP US Equity,YELP,985817105,2.5092,2920,173506.4
2014-10-24,ARKW,INTU US Equity,INTU,461202103,2.4758,2015,171194.4
2014-10-24,ARKW,DATA US Equity,DATA,87336U105,2.4278,2155,167874.5
2014-10-24,ARKW,SCHW US Equity,SCHW,808513105,2.2712,5884,157043.96
