date,fund,company,ticker,cusip,weight,shares_held,market_value
2026-04-29,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,37506,2857345574.06
2026-04-30,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,37105,2799426037.83
2026-05-01,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,37022,2829099641.94
2026-05-04,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,38150,2991541152.55
2026-05-06,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,39281,3203831597.30
2026-05-07,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,39281,3195725105.32
2026-05-08,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,39124,3133038621.63
2026-05-11,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,38792,3105932512.02
2026-05-12,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,38792,3177646096.75
2026-05-13,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,37739,3047685466.52
2026-05-14,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,35511,2823002949.48
2026-05-15,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,35395,2885096001.32
2026-05-18,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,34731,2747137125.67
2026-05-19,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,33301,2553418529.71
2026-05-20,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,33301,2558236904.97
2026-05-21,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,33301,2579771902.08
2026-05-22,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,33338,2584209744.24
2026-05-26,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,33338,2533565197.26
2026-05-27,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,33338,2527491705.48
2026-05-28,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,33106,2479276640.50
2026-05-29,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,33100,2428869341.57
2026-06-01,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,33000,2422147100.71
2026-06-02,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,32828,2344836350.95
2026-06-03,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,32579,2182496448.22
2026-06-04,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,32579,2139846513.66
2026-06-05,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,32254,2055617752.73
2026-06-08,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,32254,1924692676.24
2026-06-09,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,33249,2109633446.65
2026-06-10,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,33249,2055624946.67
2026-06-11,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,33249,2055208005.59
2026-06-12,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,32821,2086926157.70
2026-06-15,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,32871,2092359570.44
2026-06-16,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,32771,2184128671.21
2026-06-17,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,32771,2150054780.85
2026-06-18,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,32098,2075085410.83
2026-06-22,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,32098,2013558886.78
2026-06-23,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,33089,2128190363.49
2026-06-24,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,33587,2091388650.75
2026-06-25,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,32737,1953365906.08
2026-06-26,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,31351,1856690255.74
2026-06-29,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,31349,1875083736.84
2026-06-30,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,32178,1939160093.77
2026-07-01,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,32178,1885818245.00
2026-07-02,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,31515,1895491523.27
2026-07-06,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,33007,2031091278.94
2026-07-07,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,33525,2136911191.94
2026-07-08,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,33392,2125444140.07
2026-07-09,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,33392,2075012069.42
2026-07-10,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,32760,2070392986.05
2026-07-13,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,32760,2092561546.57
2026-07-14,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,32758,2032023028.60
2026-07-15,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,32814,2117986279.30
2026-07-16,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,32814,2128397230.73
2026-07-17,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,32814,2106191882.49
2026-07-20,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,32814,2103082739.97
2026-07-21,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,33932,2208551820.52
2026-07-22,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,34076,2261728488.47
2026-07-23,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,34076,2243537525.79
2026-07-24,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,34009,2202750071.59
2026-07-27,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,34009,2181768338.23
2026-07-28,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,34009,2207007363.03
2026-07-29,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,34009,2166464127.10
2026-07-30,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,33781,2160619506.28
2026-07-31,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,33802,2189160676.08
2026-08-03,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,33523,2110721096.98
2026-08-04,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,33556,2143777811.90
2026-08-05,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,33699,2166027124.65
2026-08-06,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,34279,2222887151.26
2026-08-07,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,34279,2206804009.06
2026-08-10,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,34309,2225988549.27
2026-08-11,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,34309,2192726218.79
2026-08-12,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,34127,2160837839.88
2026-08-13,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,34127,2160820776.51
2026-08-14,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,33198,2103078535.53
2026-08-17,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,33198,2086201520.34
2026-08-18,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,33419,2149291345.40
2026-08-19,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,33721,2181111662.02
2026-08-20,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,34859,2381714323.00
2026-08-21,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,35026,2541997132.00
2026-08-24,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,35066,2704027973.37
2026-08-25,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,35066,2764698579.80
2026-08-26,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,35066,2769480862.27
2026-08-27,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,35066,2750626298.10
2026-08-28,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,35437,2838881970.45
2026-08-31,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,33957,2635335700.44
2026-09-01,ARKB,BITCOIN,BTC,ARKBTCUSD,100.00,33957,2684598887.83
