date,fund,company,ticker,cusip,weight,shares_held,market_value
2026-04-29,ARKD,ARK INNOVATION ETF,ARKK,00214Q104,98.66,19332,1458599.40
2026-04-29,ARKD,4ARKK US 12/31/26 P76.92,,D26P07692,6.90,96,102044.16
2026-04-29,ARKD,4ARKK US 12/31/26 C80.77,,D26C08077,6.79,121,100382.81
2026-04-29,ARKD,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.69,10153,10153.47
2026-04-29,ARKD,4ARKK US 12/31/26 C76.92,,D26C07692,-13.03,-194,-192707.96
2026-04-30,ARKD,ARK INNOVATION ETF,ARKK,00214Q104,97.82,19332,1421481.96
2026-04-30,ARKD,4ARKK US 12/31/26 P76.92,,D26P07692,7.33,96,106512.96
2026-04-30,ARKD,4ARKK US 12/31/26 C80.77,,D26C08077,6.30,121,91476.00
2026-04-30,ARKD,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.70,10153,10153.47
2026-04-30,ARKD,4ARKK US 12/31/26 C76.92,,D26C07692,-12.15,-194,-176526.42
2026-05-01,ARKD,ARK INNOVATION ETF,ARKK,00214Q104,98.64,19332,1466138.88
2026-05-01,ARKD,4ARKK US 12/31/26 P76.92,,D26P07692,6.72,96,99951.36
2026-05-01,ARKD,4ARKK US 12/31/26 C80.77,,D26C08077,6.53,121,97039.58
2026-05-01,ARKD,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.68,10153,10153.47
2026-05-01,ARKD,4ARKK US 12/31/26 C76.92,,D26C07692,-12.58,-194,-186994.66
2026-05-04,ARKD,ARK INNOVATION ETF,ARKK,00214Q104,99.14,19332,1487017.44
2026-05-04,ARKD,4ARKK US 12/31/26 C80.77,,D26C08077,6.80,121,102019.94
2026-05-04,ARKD,4ARKK US 12/31/26 P76.92,,D26P07692,6.43,96,96461.76
2026-05-04,ARKD,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.68,10153,10153.47
2026-05-04,ARKD,4ARKK US 12/31/26 C76.92,,D26C07692,-13.05,-194,-195726.60
2026-05-06,ARKD,ARK INNOVATION ETF,ARKK,00214Q104,99.60,19332,1480444.56
2026-05-06,ARKD,4ARKK US 12/31/26 C80.77,,D26C08077,7.16,121,106378.36
2026-05-06,ARKD,4ARKK US 12/31/26 P76.92,,D26P07692,6.29,96,93489.60
2026-05-06,ARKD,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.69,10183,10183.05
2026-05-06,ARKD,4ARKK US 12/31/26 C76.92,,D26C07692,-13.73,-194,-204109.34
2026-05-07,ARKD,ARK INNOVATION ETF,ARKK,00214Q104,100.37,19332,1538440.56
2026-05-07,ARKD,4ARKK US 12/31/26 C80.77,,D26C08077,7.74,121,118623.56
2026-05-07,ARKD,4ARKK US 12/31/26 P76.92,,D26P07692,5.89,96,90259.20
2026-05-07,ARKD,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.66,10183,10183.05
2026-05-07,ARKD,4ARKK US 12/31/26 C76.92,,D26C07692,-14.66,-194,-224677.22
2026-05-08,ARKD,ARK INNOVATION ETF,ARKK,00214Q104,100.39,19332,1506542.76
2026-05-08,ARKD,4ARKK US 12/31/26 C80.77,,D26C08077,7.71,121,115702.62
2026-05-08,ARKD,4ARKK US 12/31/26 P76.92,,D26P07692,5.87,96,88122.24
2026-05-08,ARKD,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.68,10183,10183.05
2026-05-08,ARKD,4ARKK US 12/31/26 C76.92,,D26C07692,-14.65,-194,-219908.70
2026-05-11,ARKD,ARK INNOVATION ETF,ARKK,00214Q104,100.54,19332,1529547.84
2026-05-11,ARKD,4ARKK US 12/31/26 C80.77,,D26C08077,7.59,121,115441.26
2026-05-11,ARKD,4ARKK US 12/31/26 P76.92,,D26P07692,5.69,96,86640.00
2026-05-11,ARKD,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.66,9997,9997.03
2026-05-11,ARKD,4ARKK US 12/31/26 C76.92,,D26C07692,-14.48,-194,-220244.32
2026-05-12,ARKD,ARK INNOVATION ETF,ARKK,00214Q104,100.90,19332,1547139.96
2026-05-12,ARKD,4ARKK US 12/31/26 C80.77,,D26C08077,7.88,121,120886.26
2026-05-12,ARKD,4ARKK US 12/31/26 P76.92,,D26P07692,5.54,96,84981.12
2026-05-12,ARKD,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.65,9997,9997.03
2026-05-12,ARKD,4ARKK US 12/31/26 C76.92,,D26C07692,-14.97,-194,-229597.06
2026-05-13,ARKD,ARK INNOVATION ETF,ARKK,00214Q104,100.46,19332,1511955.72
2026-05-13,ARKD,4ARKK US 12/31/26 C80.77,,D26C08077,7.58,121,114089.69
2026-05-13,ARKD,4ARKK US 12/31/26 P76.92,,D26P07692,5.76,96,86654.40
2026-05-13,ARKD,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.66,9997,9997.03
2026-05-13,ARKD,4ARKK US 12/31/26 C76.92,,D26C07692,-14.46,-194,-217625.32
2026-05-14,ARKD,ARK INNOVATION ETF,ARKK,00214Q104,100.00,19332,1508862.60
2026-05-14,ARKD,4ARKK US 12/31/26 C80.77,,D26C08077,7.18,121,108317.99
2026-05-14,ARKD,4ARKK US 12/31/26 P76.92,,D26P07692,5.90,96,88985.28
2026-05-14,ARKD,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.66,9997,9997.03
2026-05-14,ARKD,4ARKK US 12/31/26 C76.92,,D26C07692,-13.74,-194,-207354.96
2026-05-15,ARKD,ARK INNOVATION ETF,ARKK,00214Q104,100.09,19332,1507896.00
2026-05-15,ARKD,4ARKK US 12/31/26 C80.77,,D26C08077,7.35,121,110752.51
2026-05-15,ARKD,4ARKK US 12/31/26 P76.92,,D26P07692,5.94,96,89465.28
