date,fund,company,ticker,cusip,weight,shares_held,market_value
2026-08-26,ARKE,ARK INNOVATION ETF,ARKK,00214Q104,102.12,18399,1589121.63
2026-08-26,ARKE,4ARKK US 06/30/27 C84.86,,E27C08486,10.00,116,155667.36
2026-08-26,ARKE,4ARKK US 06/30/27 P80.82,,E27P08082,5.47,91,85079.54
2026-08-26,ARKE,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.76,11843,11843.07
2026-08-26,ARKE,4ARKK US 06/30/27 C80.82,,E27C08082,-18.35,-185,-285517.90
2026-08-27,ARKE,ARK INNOVATION ETF,ARKK,00214Q104,102.02,18399,1578266.22
2026-08-27,ARKE,4ARKK US 06/30/27 C84.86,,E27C08486,9.89,116,153037.64
2026-08-27,ARKE,4ARKK US 06/30/27 P80.82,,E27P08082,5.49,91,84965.79
2026-08-27,ARKE,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.77,11843,11843.07
2026-08-27,ARKE,4ARKK US 06/30/27 C80.82,,E27C08082,-18.17,-185,-281068.65
2026-08-28,ARKE,ARK INNOVATION ETF,ARKK,00214Q104,102.74,18399,1607704.62
2026-08-28,ARKE,4ARKK US 06/30/27 C84.86,,E27C08486,10.35,116,162019.52
2026-08-28,ARKE,4ARKK US 06/30/27 P80.82,,E27P08082,5.11,91,79910.74
2026-08-28,ARKE,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.76,11843,11843.07
2026-08-28,ARKE,4ARKK US 06/30/27 C80.82,,E27C08082,-18.96,-185,-296723.35
2026-08-31,ARKE,ARK INNOVATION ETF,ARKK,00214Q104,101.82,18399,1556371.41
2026-08-31,ARKE,4ARKK US 06/30/27 C84.86,,E27C08486,9.74,116,148881.36
2026-08-31,ARKE,4ARKK US 06/30/27 P80.82,,E27P08082,5.57,91,85164.17
2026-08-31,ARKE,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.77,11843,11843.07
2026-08-31,ARKE,4ARKK US 06/30/27 C80.82,,E27C08082,-17.90,-185,-273683.45
2026-09-01,ARKE,ARK INNOVATION ETF,ARKK,00214Q104,101.70,18399,1574402.43
2026-09-01,ARKE,4ARKK US 06/30/27 C84.86,,E27C08486,9.39,116,145334.08
2026-09-01,ARKE,4ARKK US 06/30/27 P80.82,,E27P08082,5.48,91,84788.34
2026-09-01,ARKE,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.77,11843,11843.07
2026-09-01,ARKE,4ARKK US 06/30/27 C80.82,,E27C08082,-17.33,-185,-268309.20
2026-09-02,ARKE,ARK INNOVATION ETF,ARKK,00214Q104,100.90,18399,1528588.92
2026-09-02,ARKE,4ARKK US 06/30/27 C84.86,,E27C08486,8.79,116,133152.92
2026-09-02,ARKE,4ARKK US 06/30/27 P80.82,,E27P08082,5.84,91,88404.68
2026-09-02,ARKE,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.78,11843,11843.07
2026-09-02,ARKE,4ARKK US 06/30/27 C80.82,,E27C08082,-16.31,-185,-247080.45
2026-09-03,ARKE,ARK INNOVATION ETF,ARKK,00214Q104,100.99,18399,1534292.61
2026-09-03,ARKE,4ARKK US 06/30/27 C84.86,,E27C08486,8.77,116,133299.08
2026-09-03,ARKE,4ARKK US 06/30/27 P80.82,,E27P08082,5.74,91,87274.46
2026-09-03,ARKE,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.78,11879,11878.92
2026-09-03,ARKE,4ARKK US 06/30/27 C80.82,,E27C08082,-16.29,-185,-247552.20
2026-09-04,ARKE,ARK INNOVATION ETF,ARKK,00214Q104,102.42,18399,1603288.86
2026-09-04,ARKE,4ARKK US 06/30/27 C84.86,,E27C08486,9.80,116,153385.64
2026-09-04,ARKE,4ARKK US 06/30/27 P80.82,,E27P08082,5.06,91,79246.44
2026-09-04,ARKE,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.76,11879,11878.92
2026-09-04,ARKE,4ARKK US 06/30/27 C80.82,,E27C08082,-18.03,-185,-282330.35
2026-09-08,ARKE,ARK INNOVATION ETF,ARKK,00214Q104,102.32,18399,1586361.78
2026-09-08,ARKE,4ARKK US 06/30/27 C84.86,,E27C08486,9.68,116,150062.24
2026-09-08,ARKE,4ARKK US 06/30/27 P80.82,,E27P08082,5.10,91,79006.20
2026-09-08,ARKE,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.77,11879,11878.92
2026-09-08,ARKE,4ARKK US 06/30/27 C80.82,,E27C08082,-17.87,-185,-276976.45
2026-09-09,ARKE,ARK INNOVATION ETF,ARKK,00214Q104,102.18,18399,1583785.92
2026-09-09,ARKE,4ARKK US 06/30/27 C84.86,,E27C08486,9.53,116,147702.80
2026-09-09,ARKE,4ARKK US 06/30/27 P80.82,,E27P08082,5.13,91,79552.20
2026-09-09,ARKE,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.77,11879,11878.92
2026-09-09,ARKE,4ARKK US 06/30/27 C80.82,,E27C08082,-17.60,-185,-272860.20
2026-09-10,ARKE,ARK INNOVATION ETF,ARKK,00214Q104,101.83,18399,1555819.44
2026-09-10,ARKE,4ARKK US 06/30/27 C84.86,,E27C08486,9.22,116,140866.92
2026-09-10,ARKE,4ARKK US 06/30/27 P80.82,,E27P08082,5.26,91,80383.94
2026-09-10,ARKE,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.78,11879,11878.92
2026-09-10,ARKE,4ARKK US 06/30/27 C80.82,,E27C08082,-17.09,-185,-261146.00
2026-09-11,ARKE,ARK INNOVATION ETF,ARKK,00214Q104,100.74,18399,1528220.94
2026-09-11,ARKE,4ARKK US 06/30/27 C84.86,,E27C08486,8.45,116,128207.84
