date,fund,company,ticker,cusip,weight,shares_held,market_value
2026-08-26,ARKI,ARK INNOVATION ETF,ARKK,00214Q104,110.13,14659,1266097.83
2026-08-26,ARKI,4ARKK US 03/31/27 C70.97,,I27C07097,16.06,94,184601.90
2026-08-26,ARKI,4ARKK US 03/31/27 P67.59,,I27P06759,2.03,72,23341.68
2026-08-26,ARKI,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.00,27,27.08
2026-08-26,ARKI,4ARKK US 03/31/27 C67.59,,I27C06759,-28.22,-147,-324427.53
2026-08-27,ARKI,ARK INNOVATION ETF,ARKK,00214Q104,110.03,14659,1257449.02
2026-08-27,ARKI,4ARKK US 03/31/27 C70.97,,I27C07097,15.93,94,182058.26
2026-08-27,ARKI,4ARKK US 03/31/27 P67.59,,I27P06759,2.09,72,23832.72
2026-08-27,ARKI,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.00,27,27.08
2026-08-27,ARKI,4ARKK US 03/31/27 C67.59,,I27C06759,-28.04,-147,-320502.63
2026-08-28,ARKI,ARK INNOVATION ETF,ARKK,00214Q104,109.91,14659,1280903.42
2026-08-28,ARKI,4ARKK US 03/31/27 C70.97,,I27C07097,16.49,94,192173.60
2026-08-28,ARKI,4ARKK US 03/31/27 P67.59,,I27P06759,1.84,72,21405.60
2026-08-28,ARKI,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.71,8251,8250.58
2026-08-28,ARKI,4ARKK US 03/31/27 C67.59,,I27C06759,-28.95,-147,-337337.07
2026-08-31,ARKI,ARK INNOVATION ETF,ARKK,00214Q104,109.06,14659,1240004.81
2026-08-31,ARKI,4ARKK US 03/31/27 C70.97,,I27C07097,15.44,94,175561.92
2026-08-31,ARKI,4ARKK US 03/31/27 P67.59,,I27P06759,2.04,72,23152.32
2026-08-31,ARKI,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.73,8251,8250.58
2026-08-31,ARKI,4ARKK US 03/31/27 C67.59,,I27C06759,-27.26,-147,-309950.97
2026-09-01,ARKI,ARK INNOVATION ETF,ARKK,00214Q104,108.98,14659,1254370.63
2026-09-01,ARKI,4ARKK US 03/31/27 C70.97,,I27C07097,15.22,94,175211.30
2026-09-01,ARKI,4ARKK US 03/31/27 P67.59,,I27P06759,2.00,72,23016.24
2026-09-01,ARKI,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.72,8251,8250.58
2026-09-01,ARKI,4ARKK US 03/31/27 C67.59,,I27C06759,-26.92,-147,-309855.42
2026-09-02,ARKI,ARK INNOVATION ETF,ARKK,00214Q104,108.31,14659,1217869.72
2026-09-02,ARKI,4ARKK US 03/31/27 C70.97,,I27C07097,14.32,94,160995.68
2026-09-02,ARKI,4ARKK US 03/31/27 P67.59,,I27P06759,2.15,72,24126.48
2026-09-02,ARKI,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.73,8251,8250.58
2026-09-02,ARKI,4ARKK US 03/31/27 C67.59,,I27C06759,-25.51,-147,-286798.47
2026-09-03,ARKI,ARK INNOVATION ETF,ARKK,00214Q104,108.40,14659,1222414.01
2026-09-03,ARKI,4ARKK US 03/31/27 C70.97,,I27C07097,14.36,94,161958.24
