date,fund,company,ticker,cusip,weight,shares_held,market_value
2026-04-29,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,93.00,34447,2599026.15
2026-04-29,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,8.84,171,246954.78
2026-04-29,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,2.40,222,67032.90
2026-04-29,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.85,23696,23696.30
2026-04-29,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-5.08,-346,-141991.48
2026-04-30,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,92.06,34447,2532887.91
2026-04-30,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,9.47,171,260607.42
2026-04-30,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,2.11,222,58037.46
2026-04-30,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.86,23696,23696.30
2026-04-30,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-4.50,-346,-123743.44
2026-05-01,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,92.98,34447,2612460.48
2026-05-01,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,8.75,171,245961.27
2026-05-01,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,2.27,222,63767.28
2026-05-01,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0.84,23696,23696.30
2026-05-01,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-4.85,-346,-136161.38
2026-05-04,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,94.13,28695,2207219.40
2026-05-04,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,7.87,142,184600.00
2026-05-04,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,2.41,185,56610.00
2026-05-04,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,1.01,23696,23696.30
2026-05-04,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-5.42,-287,-127141.00
2026-05-06,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,83.82,28695,2197463.10
2026-05-06,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,11.56,303119,303118.96
2026-05-06,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,7.09,142,185845.34
2026-05-06,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,2.23,185,58487.75
2026-05-06,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-4.70,-287,-123134.48
2026-05-07,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,85.22,28695,2283548.10
2026-05-07,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,11.31,303119,303118.96
2026-05-07,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,6.38,142,171048.94
2026-05-07,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,2.60,185,69709.85
2026-05-07,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-5.52,-287,-147879.62
2026-05-08,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,84.68,28695,2236201.35
2026-05-08,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,11.48,303119,303118.96
2026-05-08,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,6.57,142,173620.56
2026-05-08,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,2.46,185,64935.00
2026-05-08,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-5.20,-287,-137220.44
2026-05-11,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,85.10,28695,2270348.40
2026-05-11,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,11.35,302697,302697.42
2026-05-11,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,6.34,142,169154.66
2026-05-11,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,2.45,185,65484.45
2026-05-11,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-5.24,-287,-139766.13
2026-05-12,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,85.66,28695,2296460.85
2026-05-12,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,11.29,302697,302697.42
2026-05-12,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,6.03,142,161627.24
2026-05-12,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,2.70,185,72353.50
2026-05-12,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-5.68,-287,-152158.79
2026-05-13,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,84.76,28695,2244235.95
2026-05-13,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,11.43,302697,302697.42
2026-05-13,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,6.55,142,173330.88
2026-05-13,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,2.47,185,65369.75
2026-05-13,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-5.20,-287,-137811.66
2026-05-14,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,84.51,28695,2239644.75
2026-05-14,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,11.42,302697,302697.42
2026-05-14,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,6.68,142,177059.80
2026-05-14,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,2.36,185,62541.10
2026-05-14,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-4.97,-287,-131810.49
2026-05-15,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,84.50,28695,2238210.00
2026-05-15,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,11.43,302697,302697.42
2026-05-15,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,6.71,142,177745.66
2026-05-15,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,2.38,185,62983.25
2026-05-15,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-5.01,-287,-132746.11
2026-05-18,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,82.88,28695,2149255.50
2026-05-18,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,11.67,302697,302697.42
2026-05-18,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,7.63,142,197735.00
2026-05-18,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,1.90,185,49319.15
2026-05-18,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-4.08,-287,-105762.37
2026-05-19,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,82.65,28695,2138064.45
2026-05-19,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,11.70,302697,302697.42
2026-05-19,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,7.68,142,198690.66
2026-05-19,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,1.70,185,43852.40
2026-05-19,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-3.72,-287,-96285.63
2026-05-20,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,81.98,28695,2118838.80
2026-05-20,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,11.71,302697,302697.42
2026-05-20,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,8.14,142,210394.30
2026-05-20,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,1.53,185,39547.45
2026-05-20,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-3.36,-287,-86892.12
2026-05-21,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,82.99,28695,2176228.80
2026-05-21,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,11.54,302697,302697.42
2026-05-21,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,7.46,142,195722.86
2026-05-21,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,1.68,185,44052.20
2026-05-21,ARKT,4ARKK US 9/30/26 C 86.30,,T26C08630,-3.68,-287,-96403.30
2026-05-22,ARKT,ARK INNOVATION ETF,ARKK,00214Q104,83.58,28695,2198610.90
2026-05-22,ARKT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,11.51,302697,302697.42
2026-05-22,ARKT,4ARKK US 9/30/26 P 86.30,,T26P08630,7.08,142,186258.56
2026-05-22,ARKT,4ARKK US 9/30/26 C 90.62,,T26C09062,1.80,185,47282.30
