date,fund,company,ticker,cusip,weight,shares_held,market_value
2026-03-31,ARKUX,SpaceX,,,17.02,,
2026-03-31,ARKUX,OpenAI,,,11.49,,
2026-03-31,ARKUX,"Replit, Inc.",,,4.73,,
2026-03-31,ARKUX,Figure AI Inc.,,,4.05,,
2026-03-31,ARKUX,"Anthropic, Inc.",,,3.54,,
2026-03-31,ARKUX,"Databricks, Inc.",,,3.16,,
2026-03-31,ARKUX,Zipline International Inc.,,,2.92,,
2026-03-31,ARKUX,Ayar Labs,,,2.72,,
2026-03-31,ARKUX,"Radiant Industries, Inc",,,2.69,,
2026-03-31,ARKUX,"Boom Technology, Inc.",,,2.66,,
2026-03-31,ARKUX,Neuralink Corp.,,,2.62,,
2026-03-31,ARKUX,Manna Drone Delivery Inc.,,,2.18,,
2026-03-31,ARKUX,Tenstorrent Holdings Inc.,,,2.16,,
2026-03-31,ARKUX,"Epic Games, Inc",,,1.94,,
2026-03-31,ARKUX,"Iambic Therapeutics, Inc.",,,1.92,,
2026-03-31,ARKUX,Lambda,,,1.90,,
2026-03-31,ARKUX,Canton Strategic Holdings,CNTN,432705309,1.69,,
2026-03-31,ARKUX,Shield AI,,,1.64,,
2026-03-31,ARKUX,"Securitize, Inc.",,,1.58,,
2026-03-31,ARKUX,Lucra Inc.,,,1.57,,
2026-03-31,ARKUX,"Apptronik, Inc.",,,1.56,,
2026-03-31,ARKUX,Crusoe Inc,,,1.56,,
2026-03-31,ARKUX,Kalshi Inc.,,,1.45,,
2026-03-31,ARKUX,"X-energy Reactor Company, LLC",,,1.40,,
2026-03-31,ARKUX,CRISPR Therapeutics AG,CRSP,H17182108,1.30,,
2026-03-31,ARKUX,Beam Therapeutics,BEAM,07373V105,1.27,,
2026-03-31,ARKUX,"Kodiak Robotics, Inc.",KDK,500081104,1.08,,
2026-03-31,ARKUX,Absci,ABSI,00091E109,0.91,,
2026-03-31,ARKUX,Discord Inc.,,,0.87,,
2026-03-31,ARKUX,"Hammerspace, Inc.",,,0.87,,
2026-03-31,ARKUX,Impulse Labs Inc.,,,0.79,,
2026-03-31,ARKUX,"Tesla, Inc.",TSLA,88160R101,0.78,,
2026-03-31,ARKUX,Prime Medicine,PRME,74168J101,0.75,,
2026-03-31,ARKUX,Architect Financial Technologies Inc.,,,0.62,,
2026-03-31,ARKUX,Tempus AI,TEM,88023B103,0.61,,
2026-03-31,ARKUX,"Mythical, Inc.",,,0.60,,
2026-03-31,ARKUX,"Robinhood Markets, Inc.",HOOD,770700102,0.57,,
2026-03-31,ARKUX,"Perplexity AI, Inc.",,,0.56,,
2026-03-31,ARKUX,"Blockdaemon, inc.",,,0.54,,
2026-03-31,ARKUX,Twist Biosciences,TWST,90184D100,0.52,,
2026-03-31,ARKUX,Revolut Group Holdings LTD,,,0.51,,
2026-03-31,ARKUX,"Lila Sciences, Inc.",,,0.50,,
2026-03-31,ARKUX,Relation Therapeutics Inc.,,,0.50,,
2026-03-31,ARKUX,"10x Genomics, Inc.",TXG,88025U109,0.49,,
2026-03-31,ARKUX,Intellia Therapeutics,NTLA,45826J105,0.48,,
2026-03-31,ARKUX,"Groq, Inc.",,,0.47,,
2026-03-31,ARKUX,Umoja Biopharma,,,0.42,,
2026-03-31,ARKUX,"Coinbase Global, Inc.",COIN,19260Q107,0.37,,
2026-03-31,ARKUX,Shopify Inc.,SHOP,82509L107,0.37,,
2026-03-31,ARKUX,Roblox Corporation,RBLX,771049103,0.33,,
2026-03-31,ARKUX,"Bitmine Immersion Technologies, Inc.",BMNR,09175A206,0.31,,
2026-03-31,ARKUX,Archer Aviation Inc.,ACHR,03945R102,0.30,,
2026-03-31,ARKUX,"Recursion Pharmaceuticals, Inc.",RXRX,75629V104,0.30,,
2026-03-31,ARKUX,"Generate:Biomedicines, Inc.",GENB,370920100,0.22,,
2026-03-31,ARKUX,"Freenome, Inc",,,0.19,,
2026-03-31,ARKUX,Gatik AI Inc.,,,0.19,,
2026-03-31,ARKUX,Chipper Cash,,,0.17,,
2026-03-31,ARKUX,"Outrider Technologies, Inc.",,,0.17,,
2026-03-31,ARKUX,"GameFam, Inc.",,,0.16,,
2026-03-31,ARKUX,"Firmly, Inc.",,,0.13,,
2026-03-31,ARKUX,"Atomic Vaults, Inc.",,,0.12,,
2026-03-31,ARKUX,"Pacific Biosciences of California, Inc.",PACB,69404D108,0.12,,
2026-03-31,ARKUX,"KINO Tech, Inc.",,,0.11,,
2026-03-31,ARKUX,"Axiom Space, Inc.",,,0.10,,
2026-03-31,ARKUX,Pave Financial Inc.,,,0.10,,
2026-03-31,ARKUX,Tilda Technologies Inc. (DBA Humata),,,0.04,,
2026-04-30,ARKUX,SpaceX,,,13.76,,
2026-04-30,ARKUX,OpenAI,,,9.29,,
2026-04-30,ARKUX,Kalshi Inc.,,,4.34,,
