date,fund,company,ticker,cusip,weight,shares_held,market_value
2026-03-31,ARKVX,SpaceX,,,17.02,,
2026-03-31,ARKVX,OpenAI,,,11.49,,
2026-03-31,ARKVX,"Replit, Inc.",,,4.73,,
2026-03-31,ARKVX,Figure AI Inc.,,,4.05,,
2026-03-31,ARKVX,"Anthropic, Inc.",,,3.54,,
2026-03-31,ARKVX,"Databricks, Inc.",,,3.16,,
2026-03-31,ARKVX,Zipline International Inc.,,,2.92,,
2026-03-31,ARKVX,Ayar Labs,,,2.72,,
2026-03-31,ARKVX,"Radiant Industries, Inc",,,2.69,,
2026-03-31,ARKVX,"Boom Technology, Inc.",,,2.66,,
2026-03-31,ARKVX,Neuralink Corp.,,,2.62,,
2026-03-31,ARKVX,Manna Drone Delivery Inc.,,,2.18,,
2026-03-31,ARKVX,Tenstorrent Holdings Inc.,,,2.16,,
2026-03-31,ARKVX,"Epic Games, Inc",,,1.94,,
2026-03-31,ARKVX,"Iambic Therapeutics, Inc.",,,1.92,,
2026-03-31,ARKVX,Lambda,,,1.90,,
2026-03-31,ARKVX,Canton Strategic Holdings,CNTN,432705309,1.69,,
2026-03-31,ARKVX,Shield AI,,,1.64,,
2026-03-31,ARKVX,"Securitize, Inc.",,,1.58,,
2026-03-31,ARKVX,Lucra Inc.,,,1.57,,
2026-03-31,ARKVX,"Apptronik, Inc.",,,1.56,,
2026-03-31,ARKVX,Crusoe Inc,,,1.56,,
2026-03-31,ARKVX,Kalshi Inc.,,,1.45,,
2026-03-31,ARKVX,"X-energy Reactor Company, LLC",,,1.40,,
2026-03-31,ARKVX,CRISPR Therapeutics AG,CRSP,H17182108,1.30,,
2026-03-31,ARKVX,Beam Therapeutics,BEAM,07373V105,1.27,,
2026-03-31,ARKVX,"Kodiak Robotics, Inc.",KDK,500081104,1.08,,
2026-03-31,ARKVX,Absci,ABSI,00091E109,0.91,,
2026-03-31,ARKVX,Discord Inc.,,,0.87,,
2026-03-31,ARKVX,"Hammerspace, Inc.",,,0.87,,
2026-03-31,ARKVX,Impulse Labs Inc.,,,0.79,,
2026-03-31,ARKVX,"Tesla, Inc.",TSLA,88160R101,0.78,,
2026-03-31,ARKVX,Prime Medicine,PRME,74168J101,0.75,,
2026-03-31,ARKVX,Architect Financial Technologies Inc.,,,0.62,,
2026-03-31,ARKVX,Tempus AI,TEM,88023B103,0.61,,
2026-03-31,ARKVX,"Mythical, Inc.",,,0.60,,
2026-03-31,ARKVX,"Robinhood Markets, Inc.",HOOD,770700102,0.57,,
2026-03-31,ARKVX,"Perplexity AI, Inc.",,,0.56,,
2026-03-31,ARKVX,"Blockdaemon, inc.",,,0.54,,
2026-03-31,ARKVX,Twist Biosciences,TWST,90184D100,0.52,,
2026-03-31,ARKVX,Revolut Group Holdings LTD,,,0.51,,
2026-03-31,ARKVX,"Lila Sciences, Inc.",,,0.50,,
2026-03-31,ARKVX,Relation Therapeutics Inc.,,,0.50,,
