date,fund,company,ticker,cusip,weight,shares_held,market_value
2021-05-06,PRNT,EXONE CO/THE,XONE,302104104,5.59,1488995,31566694.00
2021-05-06,PRNT,STRAUMANN HOLDING AG-REG,STMN,7156832,5.40,20570,30466982.42
2021-05-06,PRNT,SLM SOLUTIONS GROUP AG,AM3D,BMHTHK2,5.10,1268303,28806382.51
2021-05-06,PRNT,HP INC,HPQ,40434L105,5.04,825499,28438440.55
2021-05-06,PRNT,ALTAIR ENGINEERING INC - A,ALTR,021369103,4.89,424931,27620515.00
2021-05-06,PRNT,RENISHAW PLC,RSW,0732358,4.83,312935,27249212.00
2021-05-06,PRNT,MGI DIGITAL GRAPHIC TECHNOLO,ALMDG,B18FJV7,4.71,463901,26619370.24
2021-05-06,PRNT,DASSAULT SYSTEMES SE,DSY,5330047,4.60,114339,25983016.85
2021-05-06,PRNT,TRIMBLE INC,TRMB,896239100,4.58,318956,25870521.16
2021-05-06,PRNT,3D SYSTEMS CORP,DDD,88554D205,4.45,1320738,25133644.14
2021-05-06,PRNT,ANSYS INC,ANSS,03662Q105,4.40,69863,24835597.87
2021-05-06,PRNT,MICROSOFT CORP,MSFT,594918104,4.40,100851,24856745.97
2021-05-06,PRNT,AUTODESK INC,ADSK,052769106,4.36,87564,24612489.12
2021-05-06,PRNT,PTC INC,PTC,69370C100,4.11,177367,23217340.30
2021-05-06,PRNT,STRATASYS LTD,SSYS,M85548101,2.55,720086,14401720.00
2021-05-06,PRNT,DESKTOP METAL INC-A,DM,25058X105,2.37,1094181,13392775.44
2021-05-06,PRNT,PROTO LABS INC,PRLB,743713109,2.35,129627,13258249.56
2021-05-06,PRNT,NANO DIMENSION LTD - ADR,NNDM,63008G203,2.35,1934283,13288524.21
2021-05-06,PRNT,MATERIALISE NV-ADR,MTLS,57667T100,1.60,332738,9017199.80
2021-05-06,PRNT,AMETEK INC,AME,031100100,1.39,57349,7849931.12
2021-05-06,PRNT,HEXAGON AB-B SHS,HEXAB,B1XFTL2,1.30,76457,7332894.13
2021-05-06,PRNT,ALIGN TECHNOLOGY INC,ALGN,016255101,1.27,12564,7152057.00
2021-05-06,PRNT,ARCONIC CORP,ARNC,03966V107,1.23,192826,6972588.16
2021-05-06,PRNT,FARO TECHNOLOGIES INC,FARO,311642102,1.16,91367,6576596.66
2021-05-06,PRNT,KAISER ALUMINUM CORP,KALU,483007704,1.13,46475,6389383.00
2021-05-06,PRNT,UNITED PARCEL SERVICE-CL B,UPS,911312106,1.12,29471,6322118.92
2021-05-06,PRNT,LINCOLN ELECTRIC HOLDINGS,LECO,533900106,1.01,43021,5677481.37
2021-05-06,PRNT,NUVASIVE INC,NUVA,670704105,0.95,76774,5386463.84
2021-05-06,PRNT,MEDTRONIC PLC,MDT UN,G5960L103,0.95,42065,5342255.00
2021-05-06,PRNT,MOOG INC-CLASS A,MOG/A,615394202,0.94,61465,5327786.20
2021-05-06,PRNT,SIEMENS AG-REG,SIE,5727973,0.94,31591,5309284.29
2021-05-06,PRNT,BERTRANDT AG,BDT,5130861,0.94,93907,5287073.90
2021-05-06,PRNT,STRYKER CORP,SYK,863667101,0.92,20618,5217797.26
2021-05-06,PRNT,MICHELIN (CGDE),ML,4588364,0.92,35782,5193205.21
2021-05-06,PRNT,OC OERLIKON CORP AG-REG,OERL,4612757,0.92,456360,5182558.40
2021-05-06,PRNT,AEROJET ROCKETDYNE HOLDINGS,AJRD,007800105,0.91,109478,5133423.42
2021-05-06,PRNT,GENERAL ELECTRIC CO,GE,369604103,0.91,390609,5159944.89
2021-05-06,PRNT,ULTRA CLEAN HOLDINGS INC,UCTT,90385V107,0.83,96630,4666262.70
2021-05-06,PRNT,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,0.41,2293500.44,2293500.44
2021-05-06,PRNT,ALLEGHENY TECHNOLOGIES INC,ATI,01741R102,0.14,32506,777218.46
2021-05-06,PRNT,EASTMAN CHEMICAL CO,EMN,277432100,0.14,6288,773675.52
2021-05-06,PRNT,SGL CARBON SE,SGL,4818351,0.13,95695,726023.86
2021-05-06,PRNT,DUPONT DE NEMOURS INC,DD,26614N102,0.13,9346,756278.32
2021-05-06,PRNT,EVONIK INDUSTRIES AG,EVK,B5ZQ9D3,0.13,19819,706614.85
2021-05-06,PRNT,ARKEMA,AKE,B0Z5YZ2,0.13,5754,732874.84
2021-05-06,PRNT,KONINKLIJKE DSM NV,DSM,B0HZL93,0.13,4048,745193.15
2021-05-06,PRNT,3M CO,MMM,88579Y101,0.13,3540,713097.60
2021-05-06,PRNT,TORAY INDUSTRIES INC,3402,6897143,0.13,113608,706681.51
2021-05-06,PRNT,HENKEL AG & CO KGAA VORZUG,HEN3,5076705,0.13,6177,713044.49
2021-05-06,PRNT,VOESTALPINE AG,VOE,4943402,0.13,16354,725998.08
2021-05-06,PRNT,CARPENTER TECHNOLOGY,CRS,144285103,0.12,17255,700207.90
2021-05-06,PRNT,HEXCEL CORP,HXL,428291108,0.12,12837,684725.58
2021-05-06,PRNT,XEROX HOLDINGS CORP,XRX UN,98421M106,0.12,29125,695213.75
2021-05-06,PRNT,PYROGENESIS CANADA INC,PYR,B43JTF9,0.12,135921,654600.59
2021-05-06,PRNT,EASTMAN KODAK CO,KODK,277461406,0.12,99237,696643.74
2021-05-06,PRNT,SANDVIK AB,SAND,B1VQ252,0.12,25647,683101.89
2021-05-07,PRNT,STRAUMANN HOLDING AG-REG,STMN,7156832,5.53,20570,30770627.10
2021-05-07,PRNT,EXONE CO/THE,XONE,302104104,5.40,1488995,30077699.00
2021-05-07,PRNT,HP INC,HPQ,40434L105,5.19,825499,28875955.02
2021-05-07,PRNT,SLM SOLUTIONS GROUP AG,AM3D,BMHTHK2,5.08,1268303,28305212.02
2021-05-07,PRNT,ALTAIR ENGINEERING INC - A,ALTR,021369103,4.96,424931,27599268.45
2021-05-07,PRNT,RENISHAW PLC,RSW,0732358,4.78,312935,26594364.88
2021-05-07,PRNT,MGI DIGITAL GRAPHIC TECHNOLO,ALMDG,B18FJV7,4.70,463901,26190441.88
2021-05-07,PRNT,DASSAULT SYSTEMES SE,DSY,5330047,4.63,114339,25800241.21
2021-05-07,PRNT,MICROSOFT CORP,MSFT,594918104,4.52,100851,25185520.23
2021-05-07,PRNT,AUTODESK INC,ADSK,052769106,4.47,87564,24898823.40
2021-05-07,PRNT,3D SYSTEMS CORP,DDD,88554D205,4.37,1320738,24327993.96
2021-05-07,PRNT,TRIMBLE INC,TRMB,896239100,4.35,318956,24215139.52
2021-05-07,PRNT,ANSYS INC,ANSS,03662Q105,4.17,69863,23240625.58
2021-05-07,PRNT,PTC INC,PTC,69370C100,4.14,177367,23075446.70
2021-05-07,PRNT,STRATASYS LTD,SSYS,M85548101,2.53,720086,14092083.02
2021-05-07,PRNT,PROTO LABS INC,PRLB,743713109,2.36,129627,13126030.02
2021-05-07,PRNT,DESKTOP METAL INC-A,DM,25058X105,2.29,1094181,12769092.27
2021-05-07,PRNT,NANO DIMENSION LTD - ADR,NNDM,63008G203,2.25,1934283,12534153.84
2021-05-07,PRNT,MATERIALISE NV-ADR,MTLS,57667T100,1.59,332738,8844176.04
2021-05-07,PRNT,AMETEK INC,AME,031100100,1.40,57349,7790288.16
2021-05-07,PRNT,ALIGN TECHNOLOGY INC,ALGN,016255101,1.32,12564,7346422.08
2021-05-07,PRNT,HEXAGON AB-B SHS,HEXAB,B1XFTL2,1.31,76457,7277775.09
2021-05-07,PRNT,ARCONIC CORP,ARNC,03966V107,1.25,192826,6980301.20
2021-05-07,PRNT,FARO TECHNOLOGIES INC,FARO,311642102,1.15,91367,6396603.67
2021-05-07,PRNT,KAISER ALUMINUM CORP,KALU,483007704,1.15,46475,6394960.00
2021-05-07,PRNT,UNITED PARCEL SERVICE-CL B,UPS,911312106,1.14,29471,6329781.38
2021-05-07,PRNT,LINCOLN ELECTRIC HOLDINGS,LECO,533900106,1.03,43021,5748035.81
2021-05-07,PRNT,MOOG INC-CLASS A,MOG/A,615394202,0.98,61465,5433506.00
2021-05-07,PRNT,MEDTRONIC PLC,MDT UN,G5960L103,0.96,42065,5354874.50
2021-05-07,PRNT,SIEMENS AG-REG,SIE,5727973,0.96,31591,5340687.30
2021-05-07,PRNT,BERTRANDT AG,BDT,5130861,0.96,93907,5330025.15
2021-05-07,PRNT,NUVASIVE INC,NUVA,670704105,0.95,76774,5299709.22
2021-05-07,PRNT,STRYKER CORP,SYK,863667101,0.94,20618,5239652.34
2021-05-07,PRNT,OC OERLIKON CORP AG-REG,OERL,4612757,0.94,456360,5226167.48
2021-05-07,PRNT,MICHELIN (CGDE),ML,4588364,0.94,35782,5257551.84
2021-05-07,PRNT,AEROJET ROCKETDYNE HOLDINGS,AJRD,007800105,0.93,109478,5164077.26
2021-05-07,PRNT,GENERAL ELECTRIC CO,GE,369604103,0.93,390609,5159944.89
2021-05-07,PRNT,ULTRA CLEAN HOLDINGS INC,UCTT,90385V107,0.83,96630,4645004.10
2021-05-07,PRNT,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,0.41,2293500.44,2293500.44
