date,fund,company,ticker,cusip,shares,market value ($),weight (%)
07/29/2021,ARKQ,TESLA INC,TSLA,88160R101,"478,166","$309,363,838.68",11.33%
07/29/2021,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,50077B207,"7,113,624","$194,059,662.72",7.11%
07/29/2021,ARKQ,TRIMBLE INC,TRMB,896239100,"2,286,675","$192,355,101.00",7.04%
07/29/2021,ARKQ,ALPHABET INC-CL C,GOOG,02079K107,"52,507","$143,219,668.41",5.24%
07/29/2021,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,"3,149,213","$128,897,288.09",4.72%
07/29/2021,ARKQ,JD.COM INC-ADR,JD,47215P106,"1,790,589","$125,842,594.92",4.61%
07/29/2021,ARKQ,UNITY SOFTWARE INC,U,91332U101,"1,153,281","$125,419,308.75",4.59%
07/29/2021,ARKQ,UIPATH INC - CLASS A,PATH,90364P105,"1,676,387","$105,712,964.22",3.87%
07/29/2021,ARKQ,BAIDU INC - SPON ADR,BIDU,056752108,"483,613","$80,656,976.14",2.95%
07/29/2021,ARKQ,LOCKHEED MARTIN CORP,LMT,539830109,"212,969","$79,396,972.89",2.91%
07/29/2021,ARKQ,DEERE & CO,DE,244199105,"212,899","$75,272,570.44",2.76%
07/29/2021,ARKQ,3D SYSTEMS CORP,DDD,88554D205,"2,662,990","$71,181,722.70",2.61%
07/29/2021,ARKQ,TERADYNE INC,TER,880770102,"582,530","$71,115,262.40",2.60%
07/29/2021,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,500458401,"2,719,812","$70,035,159.00",2.56%
07/29/2021,ARKQ,MAGNA INTERNATIONAL INC,MGA,559222401,"766,774","$62,837,129.30",2.30%
07/29/2021,ARKQ,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,"1,347,968","$56,129,387.52",2.06%
07/29/2021,ARKQ,NXP SEMICONDUCTORS NV,NXPI,N6596X109,"282,006","$56,000,751.48",2.05%
07/29/2021,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,65481N100,"2,216,276","$55,406,900.00",2.03%
07/29/2021,ARKQ,CATERPILLAR INC,CAT,149123101,"236,622","$50,031,355.68",1.83%
07/29/2021,ARKQ,NANO DIMENSION LTD - ADR,NNDM,63008G203,"7,439,476","$48,430,988.76",1.77%
07/29/2021,ARKQ,2U INC,TWOU,90214J101,"894,143","$41,094,812.28",1.50%
07/29/2021,ARKQ,TELEDYNE TECHNOLOGIES INC,TDY,879360105,"87,987","$40,128,231.09",1.47%
07/29/2021,ARKQ,INTUITIVE SURGICAL INC,ISRG,46120E602,"39,740","$38,647,150.00",1.41%
07/29/2021,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,05606L100,"647,630","$37,109,199.00",1.36%
07/29/2021,ARKQ,AEROVIRONMENT INC,AVAV,008073108,"371,166","$36,797,397.24",1.35%
07/29/2021,ARKQ,SYNOPSYS INC,SNPS,871607107,"128,060","$36,329,341.40",1.33%
07/29/2021,ARKQ,NVIDIA CORP,NVDA,67066G104,"180,392","$35,181,851.76",1.29%
07/29/2021,ARKQ,ELBIT SYSTEMS LTD,ESLT,M3760D101,"255,747","$34,006,678.59",1.25%
07/29/2021,ARKQ,ANSYS INC,ANSS,03662Q105,"90,989","$32,995,341.07",1.21%
07/29/2021,ARKQ,BLADE AIR MOBILITY INC,BLDE,092667104,"3,916,636","$32,312,247.00",1.18%
07/29/2021,ARKQ,MATERIALISE NV-ADR,MTLS,57667T100,"1,522,378","$31,558,895.94",1.16%
07/29/2021,ARKQ,VUZIX CORP,VUZI,92921W300,"2,095,639","$31,455,541.39",1.15%
07/29/2021,ARKQ,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,"151,969","$29,787,443.69",1.09%
07/29/2021,ARKQ,ATLAS CREST INVESTMENT COR-A,ACIC,049284102,"2,884,530","$28,470,311.10",1.04%
07/29/2021,ARKQ,JAWS SPITFIRE ACQUISITION-A,SPFR,G50740102,"2,664,036","$26,507,158.20",0.97%
07/29/2021,ARKQ,MARKFORGED HOLDING CORP,MKFG,57064N102,"2,563,454","$26,326,672.58",0.96%
07/29/2021,ARKQ,STRATASYS LTD,SSYS,M85548101,"1,098,759","$22,271,844.93",0.82%
07/29/2021,ARKQ,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,"362,659","$22,387,048.87",0.82%
07/29/2021,ARKQ,PROTO LABS INC,PRLB,743713109,"192,579","$16,224,780.75",0.59%
07/29/2021,ARKQ,EXONE CO/THE,XONE,302104104,"742,388","$12,427,575.12",0.46%
07/29/2021,ARKQ,PACCAR INC,PCAR,693718108,"107,853","$8,924,835.75",0.33%
07/29/2021,ARKQ,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,"7,132,595.55","$7,132,595.55",0.26%
07/29/2021,ARKQ,ORGANOVO HOLDINGS INC,ONVO,68620A203,"146,665","$1,196,786.40",0.04%
07/29/2021,ARKQ,KANZHUN LTD,BZ,48553T106,"18,220","$621,666.40",0.02%
