date,fund,company,ticker,cusip,shares,market value ($),weight (%)
08/19/2021,ARKX,TRIMBLE INC,TRMB,896239100,"669,298","$59,426,969.42",10.18%
08/19/2021,ARKX,THE 3D PRINTING ETF,PRNT,00214Q500,"1,073,826","$40,107,401.10",6.87%
08/19/2021,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,"891,966","$35,116,701.42",6.02%
08/19/2021,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,502431109,"147,392","$34,081,452.16",5.84%
08/19/2021,ARKX,KRATOS DEFENSE & SECURITY,KTOS,50077B207,"1,498,847","$32,764,795.42",5.62%
08/19/2021,ARKX,LOCKHEED MARTIN CORP,LMT,539830109,"77,911","$27,783,062.60",4.76%
08/19/2021,ARKX,UNITY SOFTWARE INC,U,91332U101,"223,081","$26,305,711.52",4.51%
08/19/2021,ARKX,THALES SA,HO,4162791,"236,955","$23,967,759.99",4.11%
08/19/2021,ARKX,KOMATSU LTD,6301,6496584,"877,688","$21,801,295.04",3.74%
08/19/2021,ARKX,ALPHABET INC-CL C,GOOG,02079K107,"6,933","$18,936,796.20",3.25%
08/19/2021,ARKX,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,"318,447","$17,809,817.70",3.05%
08/19/2021,ARKX,AMAZON.COM INC,AMZN,023135106,"5,388","$17,248,173.36",2.96%
08/19/2021,ARKX,JD LOGISTICS INC,2618,BNMBPD9,"4,789,823","$16,790,966.20",2.88%
08/19/2021,ARKX,AEROVIRONMENT INC,AVAV,008073108,"168,154","$16,460,595.06",2.82%
08/19/2021,ARKX,UIPATH INC - CLASS A,PATH,90364P105,"267,134","$16,174,963.70",2.77%
08/19/2021,ARKX,BOEING CO/THE,BA,097023105,"72,568","$15,892,392.00",2.72%
08/19/2021,ARKX,NETFLIX INC,NFLX,64110L106,"26,894","$14,035,171.78",2.41%
08/19/2021,ARKX,SPIRIT AEROSYSTEMS HOLD-CL A,SPR,848574109,"339,197","$13,662,855.16",2.34%
08/19/2021,ARKX,JOBY AVIATION INC,JOBY,G65163100,"1,166,973","$10,281,032.13",1.76%
08/19/2021,ARKX,DEERE & CO,DE,244199105,"26,544","$9,864,015.84",1.69%
08/19/2021,ARKX,BLADE AIR MOBILITY INC,BLDE,092667104,"1,276,772","$9,729,002.64",1.67%
08/19/2021,ARKX,TERADYNE INC,TER,880770102,"85,428","$9,739,646.28",1.67%
08/19/2021,ARKX,ELBIT SYSTEMS LTD,ESLT,M3760D101,"62,554","$8,894,553.26",1.52%
08/19/2021,ARKX,JAWS SPITFIRE ACQUISITION-A,SPFR,G50740102,"705,282","$6,996,397.44",1.20%
08/19/2021,ARKX,SYNOPSYS INC,SNPS,871607107,"24,042","$6,987,326.46",1.20%
08/19/2021,ARKX,HONEYWELL INTERNATIONAL INC,HON,438516106,"30,463","$6,958,358.46",1.19%
08/19/2021,ARKX,GARMIN LTD,GRMN U,B3Z5T14,"39,567","$6,514,310.88",1.12%
08/19/2021,ARKX,ANSYS INC,ANSS,03662Q105,"17,522","$6,195,954.42",1.06%
08/19/2021,ARKX,AIRBUS SE,AIR,4012250,"46,100","$6,134,859.86",1.05%
08/19/2021,ARKX,MEITUAN-CLASS B,3690,BGJW376,"203,063","$5,689,565.74",0.98%
08/19/2021,ARKX,HEICO CORP,HEI,422806109,"43,890","$5,591,586.00",0.96%
08/19/2021,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,879360105,"12,008","$5,426,895.52",0.93%
08/19/2021,ARKX,NVIDIA CORP,NVDA,67066G104,"27,178","$5,174,691.20",0.89%
08/19/2021,ARKX,MARKFORGED HOLDING CORP,MKFG,57064N102,"581,139","$5,143,080.15",0.88%
08/19/2021,ARKX,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"182,996","$4,626,138.88",0.79%
08/19/2021,ARKX,ATLAS CREST INVESTMENT COR-A,ACIC,049284102,"388,478","$3,865,356.10",0.66%
08/19/2021,ARKX,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,"17,363","$2,992,513.05",0.51%
08/19/2021,ARKX,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,"2,090,722.01","$2,090,722.01",0.36%
