date,fund,company,ticker,cusip,shares,market value ($),weight (%)
12/05/2022,ARKX,TRIMBLE INC,TRMB,896239100,"463,266","$28,277,756.64",10.21%
12/05/2022,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,"388,497","$20,485,446.81",7.40%
12/05/2022,ARKX,AEROVIRONMENT INC,AVAV,008073108,"218,791","$20,277,549.88",7.32%
12/05/2022,ARKX,KRATOS DEFENSE & SECURITY,KTOS,50077B207,"1,743,861","$17,264,223.90",6.24%
12/05/2022,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,502431109,"73,786","$16,970,780.00",6.13%
12/05/2022,ARKX,THE 3D PRINTING ETF,PRNT,00214Q500,"731,691","$15,972,814.53",5.77%
12/05/2022,ARKX,KOMATSU LTD,6301,6496584,"559,988","$12,819,379.12",4.63%
12/05/2022,ARKX,DEERE & CO,DE,244199105,"24,308","$10,831,887.88",3.91%
12/05/2022,ARKX,BLADE AIR MOBILITY INC,BLDE,092667104,"1,836,692","$9,183,460.00",3.32%
12/05/2022,ARKX,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,"223,106","$8,629,538.44",3.12%
12/05/2022,ARKX,TERADYNE INC,TER,880770102,"92,631","$8,584,114.77",3.10%
12/05/2022,ARKX,UIPATH INC - CLASS A,PATH,90364P105,"588,637","$8,552,895.61",3.09%
12/05/2022,ARKX,JD LOGISTICS INC,2618,BNMBPD9,"3,981,826","$7,221,133.34",2.61%
12/05/2022,ARKX,ALPHABET INC-CL C,GOOG,02079K107,"56,322","$5,678,947.26",2.05%
12/05/2022,ARKX,THALES SA,HO,4162791,"44,305","$5,688,923.47",2.05%
12/05/2022,ARKX,AMAZON.COM INC,AMZN,023135106,"58,910","$5,545,198.30",2.00%
12/05/2022,ARKX,3D SYSTEMS CORP,DDD,88554D205,"510,098","$5,192,797.64",1.88%
12/05/2022,ARKX,JOBY AVIATION INC,JOBY,G65163100,"1,238,536","$5,115,153.68",1.85%
12/05/2022,ARKX,GARMIN LTD,GRMN UN,B3Z5T14,"54,375","$5,128,650.00",1.85%
12/05/2022,ARKX,HONEYWELL INTERNATIONAL INC,HON,438516106,"22,864","$5,009,045.12",1.81%
12/05/2022,ARKX,UNITY SOFTWARE INC,U,91332U101,"117,748","$4,820,603.12",1.74%
12/05/2022,ARKX,ELBIT SYSTEMS LTD,ESLT,M3760D101,"27,735","$4,733,532.45",1.71%
12/05/2022,ARKX,ARCHER AVIATION INC-A,ACHR,03945R102,"1,865,903","$4,739,393.62",1.71%
12/05/2022,ARKX,VELO3D INC,VLD,92259N104,"2,170,140","$4,600,696.80",1.66%
12/05/2022,ARKX,SPIRIT AEROSYSTEMS HOLD-CL A,SPR,848574109,"163,081","$4,468,419.40",1.61%
12/05/2022,ARKX,AIRBUS SE,AIR,4012250,"32,275","$3,772,980.99",1.36%
12/05/2022,ARKX,LOCKHEED MARTIN CORP,LMT,539830109,"7,404","$3,674,086.92",1.33%
12/05/2022,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,879360105,"8,351","$3,567,463.69",1.29%
12/05/2022,ARKX,HEICO CORP,HEI,422806109,"21,333","$3,513,545.10",1.27%
12/05/2022,ARKX,SYNOPSYS INC,SNPS,871607107,"9,621","$3,349,743.57",1.21%
12/05/2022,ARKX,MARKFORGED HOLDING CORP,MKFG,57064N102,"2,750,541","$3,025,595.10",1.09%
12/05/2022,ARKX,ROCKET LAB USA INC,RKLB,773122106,"704,897","$2,995,812.25",1.08%
12/05/2022,ARKX,MYNARIC AG NA O.N.,MYNA,62857X101,"648,762","$2,886,990.90",1.04%
12/05/2022,ARKX,ANSYS INC,ANSS,03662Q105,"10,712","$2,750,198.88",0.99%
12/05/2022,ARKX,PROTO LABS INC,PRLB,743713109,"27,527","$712,949.30",0.26%
12/05/2022,ARKX,STRATASYS LTD,SSYS,M85548101,"40,525","$560,866.00",0.20%
12/05/2022,ARKX,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,"269,803","$269,802.64",0.10%
