date,fund,company,ticker,cusip,shares,market value ($),weight (%)
07/08/2024,IZRL,WALKME LTD,WKME,M97628107,"271,592","$3,777,844.72",3.70%
07/08/2024,IZRL,CAMTEK LTD,CAMT,M20791105,"27,429","$3,627,485.25",3.55%
07/08/2024,IZRL,NOVA LTD,NVMI,M7516K103,"12,771","$3,046,266.63",2.98%
07/08/2024,IZRL,PAGAYA TECHNOLOGIES LTD -A,PGY,BQ5J6B6,"221,810","$2,943,418.70",2.88%
07/08/2024,IZRL,MONDAY.COM LTD,MNDY,M7S64H106,"11,742","$2,923,523.16",2.86%
07/08/2024,IZRL,RISKIFIED LTD-A,RSKD,M8216R109,"440,008","$2,860,052.00",2.80%
07/08/2024,IZRL,TOWER SEMICONDUCTOR LTD,TSEM,M87915274,"69,534","$2,798,395.83",2.74%
07/08/2024,IZRL,TEVA PHARMACEUTICAL-SP ADR,TEVA,881624209,"169,420","$2,778,488.00",2.72%
07/08/2024,IZRL,WIX.COM LTD,WIX,M98068105,"17,795","$2,744,166.95",2.69%
07/08/2024,IZRL,ODDITY TECH LTD-CL A,ODD,M7518J104,"64,468","$2,654,147.56",2.60%
07/08/2024,IZRL,FIVERR INTERNATIONAL LTD,FVRR,M4R82T106,"109,586","$2,569,791.70",2.52%
07/08/2024,IZRL,RADWARE LTD,RDWR,M81873107,"133,559","$2,554,983.67",2.50%
07/08/2024,IZRL,COGNYTE SOFTWARE LTD,CGNT,M25133105,"331,485","$2,539,175.10",2.49%
07/08/2024,IZRL,SAPIENS INTERNATIONAL CORP,SPNS,G7T16G103,"71,919","$2,530,110.42",2.48%
07/08/2024,IZRL,CELLEBRITE DI LTD,CLBT,M2197Q107,"208,523","$2,515,830.00",2.46%
07/08/2024,IZRL,CYBERARK SOFTWARE LTD/ISRAEL,CYBR,M2682V108,"9,137","$2,506,461.84",2.45%
07/08/2024,IZRL,UROGEN PHARMA LTD,URGN UQ,M96088105,"151,781","$2,410,282.28",2.36%
07/08/2024,IZRL,PLAYTIKA HOLDING CORP,PLTK,72815L107,"314,742","$2,347,975.32",2.30%
07/08/2024,IZRL,CHECK POINT SOFTWARE TECH,CHKP,M22465104,"13,669","$2,316,212.05",2.27%
07/08/2024,IZRL,AUDIOCODES LTD,AUDC,M15342104,"202,182","$2,221,980.18",2.18%
07/08/2024,IZRL,INMODE LTD,INMD,M5425M103,"124,905","$2,169,599.85",2.12%
07/08/2024,IZRL,HILAN LTD,HLAN,6267230,"38,141","$2,140,413.04",2.10%
07/08/2024,IZRL,ITURAN LOCATION AND CONTROL,ITRN,M6158M104,"86,684","$2,109,021.72",2.06%
07/08/2024,IZRL,JFROG LTD,FROG,M6191J100,"57,250","$2,101,075.00",2.06%
07/08/2024,IZRL,BEZEQ THE ISRAELI TELECOM CO,BEZQ,6098032,"1,741,823","$2,073,722.72",2.03%
07/08/2024,IZRL,SIMILARWEB LTD,SMWB,M84137104,"287,585","$2,067,736.15",2.02%
07/08/2024,IZRL,ONE SOFTWARE TECHNOLOGIES LT,ONE,6987709,"153,958","$2,049,148.99",2.01%
07/08/2024,IZRL,PARTNER COMMUNICATIONS CO,PTNR,6374420,"487,777","$2,040,409.02",2.00%
07/08/2024,IZRL,FATTAL HOLDINGS 1998 LTD,FTAL,BG1YKN5,"18,592","$2,033,176.48",1.99%
07/08/2024,IZRL,MATRIX IT LTD,MTRX,6747754,"104,723","$2,022,492.27",1.98%
07/08/2024,IZRL,DANEL (ADIR YEOSHUA) LTD,DANE,6253433,"23,877","$2,023,529.54",1.98%
07/08/2024,IZRL,CELLCOM ISRAEL LTD,CEL,B23WQK8,"542,302","$2,010,708.22",1.97%
07/08/2024,IZRL,ELBIT SYSTEMS LTD,ESLT,6308913,"10,659","$2,015,119.92",1.97%
07/08/2024,IZRL,MAGIC SOFTWARE ENTERPRISES,MGIC,6328074,"186,974","$1,964,966.47",1.92%
07/08/2024,IZRL,MOBILEYE GLOBAL INC-A,MBLY,60741F104,"69,555","$1,935,020.10",1.89%
07/08/2024,IZRL,STRATASYS LTD,SSYS,M85548101,"218,038","$1,931,816.68",1.89%
07/08/2024,IZRL,NAYAX LTD,NYAX,BMXT7N9,"85,424","$1,920,096.70",1.88%
07/08/2024,IZRL,COMPUGEN LTD,CGEN,6432403,"1,088,271","$1,881,527.89",1.84%
07/08/2024,IZRL,TELSYS LTD,TLSY,6878977,"38,961","$1,816,028.14",1.78%
07/08/2024,IZRL,TABOOLA.COM LTD,TBLA,M8744T106,"544,334","$1,818,075.56",1.78%
07/08/2024,IZRL,GILAT SATELLITE NETWORKS LTD,GILT,M51474118,"403,249","$1,806,555.52",1.77%
07/08/2024,IZRL,NANO-X IMAGING LTD,NNOX,M70700105,"240,225","$1,643,139.00",1.61%
07/08/2024,IZRL,PERION NETWORK LTD,PERI,M78673114,"192,002","$1,637,777.06",1.60%
07/08/2024,IZRL,NICE LTD - SPON ADR,NICE,653656108,"9,409","$1,610,726.71",1.58%
07/08/2024,IZRL,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"669,282","$669,282.32",0.66%
