date,fund,company,ticker,cusip,shares,market value ($),weight (%)
07/15/2024,ARKK,TESLA INC,TSLA,88160R101,"3,827,959","$950,214,262.57",14.97%
07/15/2024,ARKK,ROKU INC,ROKU,77543R102,"9,122,214","$559,374,162.48",8.81%
07/15/2024,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"2,361,278","$514,805,829.56",8.11%
07/15/2024,ARKK,ROBLOX CORP -CLASS A,RBLX,771049103,"9,229,692","$374,079,416.76",5.89%
07/15/2024,ARKK,BLOCK INC,SQ,852234103,"5,262,610","$361,751,811.40",5.70%
07/15/2024,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,"5,397,405","$312,509,749.50",4.92%
07/15/2024,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,"12,709,868","$283,175,859.04",4.46%
07/15/2024,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"8,824,054","$247,691,195.78",3.90%
07/15/2024,ARKK,UIPATH INC - CLASS A,PATH,90364P105,"18,713,938","$236,357,036.94",3.72%
07/15/2024,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"8,455,925","$218,078,305.75",3.44%
07/15/2024,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,"2,978,642","$193,284,079.38",3.05%
07/15/2024,ARKK,PAGERDUTY INC,PD,69553P100,"8,289,210","$176,974,633.50",2.79%
07/15/2024,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,"3,148,217","$168,240,716.48",2.65%
07/15/2024,ARKK,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,"17,751,912","$148,405,984.32",2.34%
07/15/2024,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,"5,136,172","$138,060,303.36",2.18%
07/15/2024,ARKK,TRADE DESK INC/THE -CLASS A,TTD,88339J105,"1,344,057","$133,706,790.36",2.11%
07/15/2024,ARKK,UNITY SOFTWARE INC,U,91332U101,"7,793,490","$133,346,613.90",2.10%
07/15/2024,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,"7,621,310","$133,296,711.90",2.10%
07/15/2024,ARKK,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"3,504,619","$132,684,875.34",2.09%
07/15/2024,ARKK,META PLATFORMS INC-CLASS A,META,30303M102,"260,857","$130,133,731.59",2.05%
07/15/2024,ARKK,TERADYNE INC,TER,880770102,"788,379","$123,247,289.07",1.94%
07/15/2024,ARKK,PINTEREST INC- CLASS A,PINS,72352L106,"2,605,827","$107,594,596.83",1.70%
07/15/2024,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,"1,779,496","$102,463,379.68",1.61%
07/15/2024,ARKK,VERACYTE INC,VCYT,92337F107,"3,983,522","$90,625,125.50",1.43%
07/15/2024,ARKK,ARCHER AVIATION INC-A,ACHR,03945R102,"16,154,386","$81,579,649.30",1.29%
07/15/2024,ARKK,MODERNA INC,MRNA,60770K107,"616,200","$74,843,652.00",1.18%
07/15/2024,ARKK,SOFI TECHNOLOGIES INC,SOFI,83406F102,"8,708,725","$60,699,813.25",0.96%
07/15/2024,ARKK,TELADOC HEALTH INC,TDOC,87918A105,"5,380,364","$50,521,617.96",0.80%
07/15/2024,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"19,281,433","$32,392,807.44",0.51%
07/15/2024,ARKK,NATERA INC,NTRA,632307104,"248,257","$27,705,481.20",0.44%
07/15/2024,ARKK,CERUS CORP,CERS,157085101,"10,542,822","$22,667,067.30",0.36%
07/15/2024,ARKK,PRIME MEDICINE INC,PRME,74168J101,"2,755,219","$15,732,300.49",0.25%
07/15/2024,ARKK,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"11,141,939","$11,141,939.17",0.18%
07/15/2024,ARKK,GINKGO BIOWORKS HOLDINGS INC,DNA,37611X100,100,$28.81,0.00%
07/15/2024,ARKK,VERVE THERAPEUTICS INC,VERV,92539P101,127,$854.71,0.00%
