date,fund,company,ticker,cusip,shares,market value ($),weight (%)
11/01/2024,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,"2,437,872","$98,392,513.92",8.37%
11/01/2024,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,"1,781,658","$82,651,114.62",7.03%
11/01/2024,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,"12,816,224","$80,998,535.68",6.89%
11/01/2024,ARKG,CAREDX INC,CDNA,14167L103,"2,696,491","$59,673,345.83",5.08%
11/01/2024,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,"11,255,993","$54,479,006.12",4.63%
11/01/2024,ARKG,VERACYTE INC,VCYT,92337F107,"1,608,228","$54,261,612.72",4.61%
11/01/2024,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,"1,343,141","$51,563,182.99",4.39%
11/01/2024,ARKG,NURIX THERAPEUTICS INC,NRIX,67080M103,"2,019,171","$49,631,223.18",4.22%
11/01/2024,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,"2,789,313","$44,712,687.39",3.80%
11/01/2024,ARKG,NATERA INC,NTRA,632307104,"364,343","$44,070,929.28",3.75%
11/01/2024,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"3,083,985","$43,854,266.70",3.73%
11/01/2024,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,"1,892,997","$41,475,564.27",3.53%
11/01/2024,ARKG,SCHRODINGER INC,SDGR,80810D103,"2,267,514","$39,896,908.83",3.39%
11/01/2024,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,"2,038,675","$36,145,707.75",3.07%
11/01/2024,ARKG,TEMPUS AI INC,TEM,88023B103,"789,319","$35,219,413.78",3.00%
11/01/2024,ARKG,PERSONALIS INC,PSNL,71535D106,"6,875,216","$34,719,840.80",2.95%
11/01/2024,ARKG,GUARDANT HEALTH INC,GH,40131M109,"1,467,771","$32,114,829.48",2.73%
11/01/2024,ARKG,ABSCI CORP,ABSI,00091E109,"7,608,721","$29,217,488.64",2.48%
11/01/2024,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"12,389,944","$26,886,178.48",2.29%
11/01/2024,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,922475108,"120,722","$25,210,375.26",2.14%
11/01/2024,ARKG,AMGEN INC,AMGN,031162100,"74,334","$23,798,773.44",2.02%
11/01/2024,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,"40,079","$19,076,802.42",1.62%
11/01/2024,ARKG,ACCOLADE INC,ACCD,00437E102,"5,223,950","$16,559,921.50",1.41%
11/01/2024,ARKG,EXACT SCIENCES CORP,EXAS,30063P105,"219,870","$15,155,639.10",1.29%
11/01/2024,ARKG,INCYTE CORP,INCY,45337C102,"205,176","$15,207,645.12",1.29%
11/01/2024,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,"8,418,016","$14,984,068.48",1.27%
11/01/2024,ARKG,STANDARD BIOTOOLS INC,LAB,34385P108,"6,975,605","$13,672,185.80",1.16%
11/01/2024,ARKG,MODERNA INC,MRNA,60770K107,"237,218","$12,895,170.48",1.10%
11/01/2024,ARKG,CERUS CORP,CERS,157085101,"8,208,021","$12,886,592.97",1.10%
11/01/2024,ARKG,REGENERON PHARMACEUTICALS,REGN,75886F107,"14,710","$12,329,922.00",1.05%
11/01/2024,ARKG,PRIME MEDICINE INC,PRME,74168J101,"2,739,043","$10,627,486.84",0.90%
11/01/2024,ARKG,908 DEVICES INC,MASS,65443P102,"3,125,257","$9,797,680.70",0.83%
11/01/2024,ARKG,COMPASS PATHWAYS PLC,CMPS,20451W101,"1,946,030","$9,263,102.80",0.79%
11/01/2024,ARKG,REPARE THERAPEUTICS INC,RPTX,760273102,"2,435,100","$8,157,585.00",0.69%
11/01/2024,ARKG,QUANTUM-SI INC,QSI,74765K105,"11,497,793","$8,059,952.89",0.69%
11/01/2024,ARKG,ILLUMINA INC,ILMN,452327109,"41,962","$6,048,402.68",0.51%
11/01/2024,ARKG,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"1,750,786","$1,750,785.50",0.15%
11/01/2024,ARKG,SENTI BIOSCIENCES INC,SNTI,81726A209,"168,235","$365,069.95",0.03%
