date,fund,company,ticker,cusip,shares,market value ($),weight (%)
12/13/2024,ARKK,TESLA INC,TSLA,88160R101,"2,641,777","$1,104,526,963.70",15.98%
12/13/2024,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"2,077,657","$650,223,534.72",9.41%
12/13/2024,ARKK,ROKU INC,ROKU,77543R102,"7,850,559","$642,960,782.10",9.30%
12/13/2024,ARKK,ROBLOX CORP -CLASS A,RBLX,771049103,"7,090,838","$422,684,853.18",6.11%
12/13/2024,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"5,075,899","$371,555,806.80",5.37%
12/13/2024,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,"8,665,232","$340,803,574.56",4.93%
12/13/2024,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,"2,629,751","$303,236,587.81",4.39%
12/13/2024,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,"6,314,194","$286,664,407.60",4.15%
12/13/2024,ARKK,BLOCK INC,SQ,852234103,"3,018,937","$284,112,161.07",4.11%
12/13/2024,ARKK,UIPATH INC - CLASS A,PATH,90364P105,"12,536,950","$178,400,798.50",2.58%
12/13/2024,ARKK,META PLATFORMS INC-CLASS A,META,30303M102,"264,445","$166,809,261.55",2.41%
12/13/2024,ARKK,ARCHER AVIATION INC-A,ACHR,03945R102,"20,587,021","$147,608,940.57",2.14%
12/13/2024,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,"3,111,524","$147,455,122.36",2.13%
12/13/2024,ARKK,PAGERDUTY INC,PD,69553P100,"7,155,797","$144,976,447.22",2.10%
12/13/2024,ARKK,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"3,255,356","$134,999,613.32",1.95%
12/13/2024,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,"4,697,188","$131,803,095.28",1.91%
12/13/2024,ARKK,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,"18,868,731","$131,703,742.38",1.91%
12/13/2024,ARKK,TEMPUS AI INC,TEM,88023B103,"3,049,222","$128,036,831.78",1.85%
12/13/2024,ARKK,TRADE DESK INC/THE -CLASS A,TTD,88339J105,"939,475","$125,485,675.75",1.82%
12/13/2024,ARKK,AMAZON.COM INC,AMZN,023135106,"548,993","$125,702,927.21",1.82%
12/13/2024,ARKK,VERACYTE INC,VCYT,92337F107,"2,771,336","$123,047,318.40",1.78%
12/13/2024,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,"8,076,112","$120,737,874.40",1.75%
12/13/2024,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"8,521,872","$115,556,584.32",1.67%
12/13/2024,ARKK,TERADYNE INC,TER,880770102,"930,716","$112,570,100.20",1.63%
12/13/2024,ARKK,SOFI TECHNOLOGIES INC,SOFI,83406F102,"5,615,235","$89,282,236.50",1.29%
12/13/2024,ARKK,ADVANCED MICRO DEVICES,AMD,007903107,"636,547","$83,133,038.20",1.20%
12/13/2024,ARKK,PINTEREST INC- CLASS A,PINS,72352L106,"2,515,843","$77,588,598.12",1.12%
12/13/2024,ARKK,NATERA INC,NTRA,632307104,"440,892","$73,386,473.40",1.06%
12/13/2024,ARKK,ILLUMINA INC,ILMN,452327109,"467,020","$68,385,738.60",0.99%
12/13/2024,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"20,774,297","$42,483,437.37",0.61%
12/13/2024,ARKK,CERUS CORP,CERS,157085101,"12,359,384","$21,999,703.52",0.32%
12/13/2024,ARKK,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"8,106,314","$8,106,313.95",0.12%
12/13/2024,ARKK,PRIME MEDICINE INC,PRME,74168J101,"2,299,557","$6,921,666.57",0.10%
