date,fund,company,ticker,cusip,shares,market value ($),weight (%)
04/09/2025,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,"904,572","$69,733,455.48",9.15%
04/09/2025,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"388,965","$58,916,528.55",7.73%
04/09/2025,ARKF,ARK BITCOIN ETF HOLDCO (ARKF),,MM005473T,"636,601","$48,725,440.54",6.40%
04/09/2025,ARKF,ROBINHOOD MARKETS INC - A,HOOD,770700102,"1,274,418","$43,546,863.06",5.72%
04/09/2025,ARKF,TOAST INC-CLASS A,TOST,888787108,"1,291,406","$38,780,922.18",5.09%
04/09/2025,ARKF,BLOCK INC,XYZ,852234103,"687,341","$33,734,696.28",4.43%
04/09/2025,ARKF,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"434,074","$33,562,601.68",4.41%
04/09/2025,ARKF,ROBLOX CORP -CLASS A,RBLX,771049103,"620,750","$31,794,815.00",4.17%
04/09/2025,ARKF,MERCADOLIBRE INC,MELI,58733R102,"15,522","$28,344,879.42",3.72%
04/09/2025,ARKF,ADYEN NV,ADYEN,BZ1HM42,"19,499","$27,949,720.38",3.67%
04/09/2025,ARKF,ROKU INC,ROKU,77543R102,"404,280","$22,275,828.00",2.92%
04/09/2025,ARKF,META PLATFORMS INC-CLASS A,META,30303M102,"41,695","$21,283,212.75",2.79%
04/09/2025,ARKF,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"667,390","$21,283,067.10",2.79%
04/09/2025,ARKF,PINTEREST INC- CLASS A,PINS,72352L106,"770,351","$19,012,262.68",2.50%
04/09/2025,ARKF,SOFI TECHNOLOGIES INC,SOFI,83406F102,"1,874,974","$17,812,253.00",2.34%
04/09/2025,ARKF,AMAZON.COM INC,AMZN,023135106,"102,735","$17,532,755.10",2.30%
04/09/2025,ARKF,SEA LTD-ADR,SE,81141R100,"164,060","$17,319,814.20",2.27%
04/09/2025,ARKF,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"32,123","$16,650,957.05",2.19%
04/09/2025,ARKF,LY CORP,4689,6084848,"4,374,496","$14,972,384.63",1.97%
04/09/2025,ARKF,IBOTTA INC-CL A,IBTA,451051106,"328,493","$14,098,919.56",1.85%
04/09/2025,ARKF,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,"1,251,653","$12,478,980.41",1.64%
04/09/2025,ARKF,GLOBAL-E ONLINE LTD,GLBE,M5216V106,"404,139","$12,043,342.20",1.58%
04/09/2025,ARKF,DISCOVERY LTD,DSY,6177878,"1,246,534","$11,784,722.96",1.55%
04/09/2025,ARKF,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"36,216","$11,771,648.64",1.55%
04/09/2025,ARKF,INTUIT INC,INTU,461202103,"20,351","$11,072,368.57",1.45%
04/09/2025,ARKF,JSC KASPI.KZ ADR,KSPI,BJY21K1,"128,729","$10,456,656.67",1.37%
04/09/2025,ARKF,PAYPAL HOLDINGS INC,PYPL,70450Y103,"162,632","$9,336,703.12",1.23%
04/09/2025,ARKF,FUTU HOLDINGS LTD-ADR,FUTU,36118L106,"121,817","$9,167,947.42",1.20%
04/09/2025,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,"59,383","$9,003,650.46",1.18%
04/09/2025,ARKF,NVIDIA CORP,NVDA,67066G104,"86,820","$8,360,766.00",1.10%
04/09/2025,ARKF,ZILLOW GROUP INC - C,Z,98954M200,"133,230","$8,112,374.70",1.06%
04/09/2025,ARKF,REDDIT INC-CL A,RDDT,75734B100,"89,934","$7,994,233.26",1.05%
04/09/2025,ARKF,AIRBNB INC-CLASS A,ABNB,009066101,"70,275","$7,427,364.75",0.97%
04/09/2025,ARKF,AVIDXCHANGE HOLDINGS INC,AVDX,05368X102,"927,094","$6,684,347.74",0.88%
04/09/2025,ARKF,UIPATH INC - CLASS A,PATH,90364P105,"668,192","$6,595,055.04",0.87%
04/09/2025,ARKF,BILL HOLDINGS INC,BILL,090043100,"158,422","$5,989,935.82",0.79%
04/09/2025,ARKF,3IQ ETHER STAKING ETF,ETHQ/U,BQ84B35,"841,825","$4,850,944.50",0.64%
04/09/2025,ARKF,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,0,$0.00,0.00%
