date,fund,company,ticker,cusip,shares,market value ($),weight (%)
06/10/2025,PRNT,FARO TECHNOLOGIES INC,FARO,311642102,"117,313","$4,977,590.59",6.29%
06/10/2025,PRNT,XOMETRY INC-A,XMTR,98423F109,"127,039","$4,598,811.80",5.82%
06/10/2025,PRNT,RENISHAW PLC,RSW,0732358,"96,605","$3,647,720.56",4.61%
06/10/2025,PRNT,TITOMIC LTD,TTT,BYZ03N6,"18,594,402","$3,636,786.02",4.60%
06/10/2025,PRNT,DENTSPLY SIRONA INC,XRAY UW,24906P109,"222,182","$3,604,902.95",4.56%
06/10/2025,PRNT,MATERIALISE NV-ADR,MTLS,57667T100,"591,047","$3,481,266.83",4.40%
06/10/2025,PRNT,PTC INC,PTC,69370C100,"19,846","$3,377,590.74",4.27%
06/10/2025,PRNT,SIEMENS AG-REG,SIE,5727973,"13,280","$3,326,864.60",4.21%
06/10/2025,PRNT,AUTODESK INC,ADSK,052769106,"10,984","$3,264,554.64",4.13%
06/10/2025,PRNT,PROTO LABS INC,PRLB,743713109,"82,941","$3,251,287.20",4.11%
06/10/2025,PRNT,STRATASYS LTD,SSYS,M85548101,"301,187","$3,210,653.42",4.06%
06/10/2025,PRNT,ANSYS INC,ANSS,03662Q105,"9,392","$3,213,378.88",4.06%
06/10/2025,PRNT,STRAUMANN HOLDING AG-REG,STMN SE,BQ7ZV06,"23,302","$3,027,983.57",3.83%
06/10/2025,PRNT,HP INC,HPQ,40434L105,"115,466","$2,900,505.92",3.67%
06/10/2025,PRNT,BICO GROUP AB,BICO,BKMFJ94,"745,131","$2,863,632.48",3.62%
06/10/2025,PRNT,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,"75,633","$2,793,286.30",3.53%
06/10/2025,PRNT,3D SYSTEMS CORP,DDD,88554D205,"1,503,360","$2,766,182.40",3.50%
06/10/2025,PRNT,NANO DIMENSION LTD - ADR,NNDM,63008G203,"1,854,857","$2,763,736.93",3.49%
06/10/2025,PRNT,NIKON CORP,7731,6642321,"266,285","$2,589,636.59",3.27%
06/10/2025,PRNT,KAISER ALUMINUM CORP,KALU,483007704,"17,534","$1,385,010.66",1.75%
06/10/2025,PRNT,GENERAL ELECTRIC,GE,369604301,"5,271","$1,325,182.11",1.68%
06/10/2025,PRNT,AMETEK INC,AME,031100100,"7,034","$1,256,553.76",1.59%
06/10/2025,PRNT,HEXAGON AB-B SHS,HEXAB S,BNZFHC1,"120,829","$1,227,545.99",1.55%
06/10/2025,PRNT,ALIGN TECHNOLOGY INC,ALGN,016255101,"6,472","$1,170,978.96",1.48%
06/10/2025,PRNT,MELROSE INDUSTRIES PLC,MRO,BNGDN82,"172,650","$1,134,349.15",1.43%
06/10/2025,PRNT,LINCOLN ELECTRIC HOLDINGS,LECO,533900106,"5,422","$1,100,611.78",1.39%
06/10/2025,PRNT,L3HARRIS TECHNOLOGIES INC,LHX,502431109,"4,394","$1,078,331.54",1.36%
06/10/2025,PRNT,MOOG INC-CLASS A,MOG/A,615394202,"5,780","$1,069,878.00",1.35%
06/10/2025,PRNT,OC OERLIKON CORP AG-REG,OERL,4612757,"233,619","$1,062,447.45",1.34%
06/10/2025,PRNT,MICHELIN (CGDE),ML,BPBPJ01,"27,555","$1,028,051.84",1.30%
06/10/2025,PRNT,UNITED PARCEL SERVICE-CL B,UPS,911312106,"9,836","$976,813.16",1.24%
06/10/2025,PRNT,5N PLUS INC,VNP,B2B3VZ3,"18,226","$122,789.61",0.16%
06/10/2025,PRNT,CARPENTER TECHNOLOGY,CRS,144285103,429,"$108,571.32",0.14%
06/10/2025,PRNT,JABIL INC,JBL,466313103,550,"$97,559.00",0.12%
06/10/2025,PRNT,AVIENT CORP,AVNT,05368V106,"2,385","$89,604.45",0.11%
06/10/2025,PRNT,SGL CARBON SE,SGL,4818351,"19,956","$86,171.51",0.11%
06/10/2025,PRNT,SANDVIK AB,SAND,B1VQ252,"3,772","$84,319.06",0.11%
06/10/2025,PRNT,HENKEL AG & CO KGAA VOR-PREF,HEN3,5076705,979,"$77,725.93",0.10%
06/10/2025,PRNT,DUPONT DE NEMOURS INC,DD,26614N102,"1,169","$80,170.02",0.10%
06/10/2025,PRNT,EVONIK INDUSTRIES AG,EVK,B5ZQ9D3,"3,447","$75,682.08",0.10%
06/10/2025,PRNT,EASTMAN CHEMICAL CO,EMN,277432100,957,"$76,512.15",0.10%
06/10/2025,PRNT,HEXCEL CORP,HXL,428291108,"1,411","$80,878.52",0.10%
06/10/2025,PRNT,3M CO,MMM,88579Y101,560,"$80,768.80",0.10%
06/10/2025,PRNT,TORAY INDUSTRIES INC,3402,6897143,"11,986","$80,915.34",0.10%
06/10/2025,PRNT,KENNAMETAL INC,KMT,489170100,"3,547","$78,636.99",0.10%
06/10/2025,PRNT,VOESTALPINE AG,VOE,4943402,"3,018","$77,433.24",0.10%
06/10/2025,PRNT,MATERION CORP,MTRN,576690101,940,"$76,177.60",0.10%
06/10/2025,PRNT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"74,958","$74,958.21",0.09%
06/10/2025,PRNT,ARKEMA,AKE,B0Z5YZ2,"1,045","$73,773.98",0.09%
06/10/2025,PRNT,EASTMAN KODAK CO,KODK,277461406,"11,607","$68,017.02",0.09%
06/10/2025,PRNT,ATI INC,ATI,01741R102,161,"$13,617.38",0.02%
