date,fund,company,ticker,cusip,shares,market value ($),weight (%)
11/03/2025,ARKW,TESLA INC,TSLA,88160R101,"542,312","$247,597,966.72",9.88%
11/03/2025,ARKW,ADVANCED MICRO DEVICES,AMD,007903107,"624,958","$160,064,242.96",6.39%
11/03/2025,ARKW,ARK BITCOIN ETF HOLDCO (ARKW),,MM0051EWE,"4,033,459","$147,140,584.32",5.87%
11/03/2025,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"390,547","$134,262,247.66",5.36%
11/03/2025,ARKW,ROKU INC,ROKU,77543R102,"1,256,873","$133,391,931.49",5.32%
11/03/2025,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,"685,863","$119,244,141.18",4.76%
11/03/2025,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,"799,649","$117,372,480.22",4.68%
11/03/2025,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"539,956","$108,244,979.32",4.32%
11/03/2025,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,"762,684","$86,732,424.48",3.46%
11/03/2025,ARKW,CIRCLE INTERNET GROUP INC,CRCL,172573107,"625,871","$79,473,099.58",3.17%
11/03/2025,ARKW,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,"1,390,480","$64,865,892.00",2.59%
11/03/2025,ARKW,BLOCK INC,XYZ,852234103,"763,133","$57,952,320.02",2.31%
11/03/2025,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,"188,388","$56,597,406.84",2.26%
11/03/2025,ARKW,COREWEAVE INC-CL A,CRWV,21873S108,"409,299","$54,727,369.29",2.18%
11/03/2025,ARKW,META PLATFORMS INC-CLASS A,META,30303M102,"82,652","$53,587,424.20",2.14%
11/03/2025,ARKW,ALPHABET INC-CL C,GOOG,02079K107,"172,045","$48,485,721.90",1.93%
11/03/2025,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,"188,035","$47,629,265.50",1.90%
11/03/2025,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"85,990","$46,693,429.90",1.86%
11/03/2025,ARKW,GITLAB INC-CL A,GTLB,37637K108,"943,394","$45,990,457.50",1.84%
11/03/2025,ARKW,AMAZON.COM INC,AMZN,023135106,"170,515","$41,643,173.30",1.66%
11/03/2025,ARKW,NVIDIA CORP,NVDA,67066G104,"157,024","$31,795,789.76",1.27%
11/03/2025,ARKW,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"1,012,072","$30,959,282.48",1.24%
