date,fund,company,ticker,cusip,shares,market value ($),weight (%)
01/15/2025,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,"941,519","$95,667,745.59",9.39%
01/15/2025,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"364,517","$93,086,706.29",9.13%
01/15/2025,ARKF,ARK BITCOIN ETF HOLDCO (ARKF),,MM005473T,"636,601","$61,304,676.30",6.01%
01/15/2025,ARKF,ROBINHOOD MARKETS INC - A,HOOD,770700102,"1,451,700","$60,622,992.00",5.95%
01/15/2025,ARKF,BLOCK INC,SQ,852234103,"734,332","$60,523,643.44",5.94%
01/15/2025,ARKF,TOAST INC-CLASS A,TOST,888787108,"1,309,633","$47,461,099.92",4.66%
01/15/2025,ARKF,SOFI TECHNOLOGIES INC,SOFI,83406F102,"3,094,996","$44,877,442.00",4.40%
01/15/2025,ARKF,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"1,000,613","$40,024,520.00",3.93%
01/15/2025,ARKF,ROBLOX CORP -CLASS A,RBLX,771049103,"633,757","$39,457,710.82",3.87%
01/15/2025,ARKF,ROKU INC,ROKU,77543R102,"447,011","$33,436,422.80",3.28%
01/15/2025,ARKF,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"492,901","$32,487,104.91",3.19%
01/15/2025,ARKF,ADYEN NV,ADYEN,BZ1HM42,"21,536","$31,775,190.02",3.12%
01/15/2025,ARKF,MERCADOLIBRE INC,MELI,58733R102,"16,914","$29,660,559.54",2.91%
01/15/2025,ARKF,META PLATFORMS INC-CLASS A,META,30303M102,"44,562","$26,480,968.50",2.60%
01/15/2025,ARKF,PINTEREST INC- CLASS A,PINS,72352L106,"823,015","$24,517,616.85",2.41%
01/15/2025,ARKF,GLOBAL-E ONLINE LTD,GLBE,M5216V106,"431,765","$23,544,145.45",2.31%
01/15/2025,ARKF,UIPATH INC - CLASS A,PATH,90364P105,"1,710,625","$22,717,100.00",2.23%
01/15/2025,ARKF,SEA LTD-ADR,SE,81141R100,"175,275","$19,357,371.00",1.90%
01/15/2025,ARKF,REDDIT INC-CL A,RDDT,75734B100,"116,710","$19,236,142.20",1.89%
01/15/2025,ARKF,DISCOVERY LTD,DSY,6177878,"1,770,126","$17,663,162.62",1.73%
01/15/2025,ARKF,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"34,328","$15,914,117.52",1.56%
01/15/2025,ARKF,PAYPAL HOLDINGS INC,PYPL,70450Y103,"173,762","$15,148,571.16",1.49%
01/15/2025,ARKF,BILL HOLDINGS INC,BILL,090043100,"169,265","$13,932,202.15",1.37%
01/15/2025,ARKF,INTUIT INC,INTU,461202103,"21,751","$13,568,273.80",1.33%
01/15/2025,ARKF,IBOTTA INC-CL A,IBTA,451051106,"200,023","$13,557,558.94",1.33%
01/15/2025,ARKF,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"38,701","$13,469,496.04",1.32%
01/15/2025,ARKF,NU HOLDINGS LTD/CAYMAN ISL-A,NU UN,G6683N103,"1,176,527","$12,835,909.57",1.26%
01/15/2025,ARKF,LY CORP,4689,6084848,"4,674,396","$12,578,880.42",1.23%
01/15/2025,ARKF,NVIDIA CORP,NVDA,67066G104,"92,770","$12,223,375.20",1.20%
01/15/2025,ARKF,3IQ ETHER STAKING ETF,ETHQ/U,BQ84B35,"899,353","$11,392,618.79",1.12%
01/15/2025,ARKF,JSC KASPI.KZ ADR,KSPI,BJY21K1,"117,537","$10,627,695.54",1.04%
01/15/2025,ARKF,AMAZON.COM INC,AMZN,023135106,"46,912","$10,215,557.12",1.00%
01/15/2025,ARKF,ZILLOW GROUP INC - C,Z,98954M200,"142,330","$10,224,987.20",1.00%
01/15/2025,ARKF,FUTU HOLDINGS LTD-ADR,FUTU,36118L106,"130,147","$10,104,613.08",0.99%
01/15/2025,ARKF,AVIDXCHANGE HOLDINGS INC,AVDX,05368X102,"990,470","$9,835,367.10",0.96%
01/15/2025,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,"63,443","$9,215,095.75",0.90%
01/15/2025,ARKF,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"463,024","$463,024.28",0.05%
