date,fund,company,ticker,cusip,shares,market value ($),weight (%)
12/29/2025,PRNT,SIEMENS AG-REG,SIE,5727973,"15,865","$4,443,276.25",6.25%
12/29/2025,PRNT,AUTODESK INC,ADSK,052769106,"14,542","$4,372,924.82",6.15%
12/29/2025,PRNT,DENTSPLY SIRONA INC,XRAY UW,24906P109,"354,508","$4,083,932.16",5.74%
12/29/2025,PRNT,PTC INC,PTC,69370C100,"21,767","$3,843,834.53",5.40%
12/29/2025,PRNT,XOMETRY INC-A,XMTR,98423F109,"57,146","$3,584,197.12",5.04%
12/29/2025,PRNT,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,"125,451","$3,480,974.18",4.89%
12/29/2025,PRNT,STRAUMANN HOLDING AG-REG,STMN SE,BQ7ZV06,"27,868","$3,280,500.07",4.61%
12/29/2025,PRNT,PROTO LABS INC,PRLB,743713109,"58,618","$3,089,168.60",4.34%
12/29/2025,PRNT,RENISHAW PLC,RSW,0732358,"62,209","$2,924,200.29",4.11%
12/29/2025,PRNT,NIKON CORP,7731,6642321,"256,163","$2,876,460.35",4.04%
12/29/2025,PRNT,MATERIALISE NV-ADR,MTLS,57667T100,"509,224","$2,836,377.68",3.99%
12/29/2025,PRNT,NANO DIMENSION LTD - ADR,NNDM,63008G203,"1,712,699","$2,757,445.39",3.88%
12/29/2025,PRNT,HP INC,HPQ,40434L105,"111,569","$2,595,094.94",3.65%
12/29/2025,PRNT,BICO GROUP AB,BICO,BKMFJ94,"1,241,012","$2,575,037.05",3.62%
12/29/2025,PRNT,TITOMIC LTD,TTT,BYZ03N6,"17,834,262","$2,515,089.77",3.54%
12/29/2025,PRNT,STRATASYS LTD,SSYS,M85548101,"279,770","$2,503,941.50",3.52%
12/29/2025,PRNT,KAISER ALUMINUM CORP,KALU,483007704,"15,367","$1,806,390.85",2.54%
12/29/2025,PRNT,3D SYSTEMS CORP,DDD,88554D205,"976,542","$1,777,306.44",2.50%
12/29/2025,PRNT,ALIGN TECHNOLOGY INC,ALGN,016255101,"9,440","$1,495,012.80",2.10%
12/29/2025,PRNT,MOOG INC-CLASS A,MOG/A,615394202,"5,866","$1,474,536.42",2.07%
12/29/2025,PRNT,UNITED PARCEL SERVICE-CL B,UPS,911312106,"13,825","$1,389,965.50",1.95%
12/29/2025,PRNT,AMETEK INC,AME,031100100,"6,624","$1,380,772.80",1.94%
12/29/2025,PRNT,OC OERLIKON CORP AG-REG,OERL,4612757,"340,002","$1,374,920.94",1.93%
12/29/2025,PRNT,GENERAL ELECTRIC,GE,369604301,"3,973","$1,250,620.94",1.76%
12/29/2025,PRNT,L3HARRIS TECHNOLOGIES INC,LHX,502431109,"4,220","$1,252,369.40",1.76%
12/29/2025,PRNT,LINCOLN ELECTRIC HOLDINGS,LECO,533900106,"5,086","$1,253,546.42",1.76%
12/29/2025,PRNT,MICHELIN (CGDE),ML,BPBPJ01,"37,710","$1,240,892.97",1.74%
12/29/2025,PRNT,HEXAGON AB-B SHS,HEXAB S,BNZFHC1,"103,598","$1,210,001.92",1.70%
12/29/2025,PRNT,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"817,594","$817,593.58",1.15%
12/29/2025,PRNT,ATI INC,ATI,01741R102,917,"$107,243.15",0.15%
12/29/2025,PRNT,CARPENTER TECHNOLOGY,CRS,144285103,312,"$104,317.20",0.15%
12/29/2025,PRNT,EASTMAN KODAK CO,KODK,277461406,"11,099","$97,005.26",0.14%
12/29/2025,PRNT,KENNAMETAL INC,KMT,489170100,"3,316","$97,092.48",0.14%
12/29/2025,PRNT,HEXCEL CORP,HXL,428291108,"1,197","$91,127.61",0.13%
12/29/2025,PRNT,VOESTALPINE AG,VOE,4943402,"2,033","$89,309.49",0.13%
12/29/2025,PRNT,DOWLAIS GROUP PLC,DWL,BMWRZ07,"71,959","$82,084.18",0.12%
12/29/2025,PRNT,JABIL INC,JBL,466313103,353,"$83,346.83",0.12%
12/29/2025,PRNT,SANDVIK AB,SAND,B1VQ252,"2,560","$82,837.22",0.12%
12/29/2025,PRNT,3M CO,MMM,88579Y101,485,"$78,608.80",0.11%
12/29/2025,PRNT,5N PLUS INC,VNP,B2B3VZ3,"5,876","$78,771.14",0.11%
12/29/2025,PRNT,AVIENT CORP,AVNT,05368V106,"2,356","$74,850.12",0.11%
12/29/2025,PRNT,EASTMAN CHEMICAL CO,EMN,277432100,"1,207","$76,668.64",0.11%
12/29/2025,PRNT,MATERION CORP,MTRN,576690101,583,"$75,148.70",0.11%
12/29/2025,PRNT,TORAY INDUSTRIES INC,3402,6897143,"12,317","$80,591.02",0.11%
12/29/2025,PRNT,ARKEMA,AKE,B0Z5YZ2,"1,225","$73,579.64",0.10%
12/29/2025,PRNT,HENKEL AG & CO KGAA VOR-PREF,HEN3,5076705,883,"$72,359.66",0.10%
12/29/2025,PRNT,SGL CARBON SE,SGL,4818351,"19,767","$72,751.54",0.10%
12/29/2025,PRNT,EVONIK INDUSTRIES AG,EVK,B5ZQ9D3,"4,234","$65,373.98",0.09%
12/29/2025,PRNT,DUPONT DE NEMOURS INC,DD,26614N102,923,"$38,082.98",0.05%
12/29/2025,PRNT,QNITY ELECTRONICS INC,Q UN,74743L100,461,"$38,820.81",0.05%
