date,fund,company,ticker,cusip,shares,market value ($),weight (%)
06/09/2026,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,"1,656,864","$116,046,754.56",9.36%
06/09/2026,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,"1,895,501","$97,807,851.60",7.89%
06/09/2026,ARKG,TEMPUS AI INC-CL A,TEM,88023B103,"1,996,764","$97,022,762.76",7.83%
06/09/2026,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,"2,876,336","$83,931,484.48",6.77%
06/09/2026,ARKG,PERSONALIS INC,PSNL,71535D106,"7,270,804","$72,998,872.16",5.89%
06/09/2026,ARKG,ABSCI CORP,ABSI,00091E109,"10,795,573","$70,711,003.15",5.71%
06/09/2026,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,"1,993,225","$59,358,240.50",4.79%
06/09/2026,ARKG,ILLUMINA INC,ILMN,452327109,"356,260","$56,303,330.40",4.54%
06/09/2026,ARKG,GUARDANT HEALTH INC,GH,40131M109,"449,877","$56,185,138.53",4.53%
06/09/2026,ARKG,NATERA INC,NTRA,632307104,"238,298","$50,869,474.06",4.10%
06/09/2026,ARKG,VERACYTE INC,VCYT,92337F107,"870,172","$41,133,030.44",3.32%
06/09/2026,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"3,024,888","$40,805,739.12",3.29%
06/09/2026,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,"11,380,842","$37,784,395.44",3.05%
06/09/2026,ARKG,CAREDX INC,CDNA,14167L103,"1,702,857","$37,377,711.15",3.02%
06/09/2026,ARKG,COMPASS PATHWAYS PLC,CMPS,20451W101,"3,007,383","$35,276,602.59",2.85%
06/09/2026,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,"1,847,927","$30,860,380.90",2.49%
06/09/2026,ARKG,SCHRODINGER INC,SDGR,80810D103,"1,898,312","$27,335,692.80",2.21%
06/09/2026,ARKG,NURIX THERAPEUTICS INC,NRIX,67080M103,"1,563,266","$24,449,480.24",1.97%
06/09/2026,ARKG,GENEDX HOLDINGS CORP,WGS,81663L200,"415,444","$21,519,999.20",1.74%
06/09/2026,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,"4,433,882","$21,193,955.96",1.71%
06/09/2026,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,"261,434","$19,225,856.36",1.55%
06/09/2026,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,"2,547,551","$18,138,563.12",1.46%
06/09/2026,ARKG,CERUS CORP,CERS,157085101,"6,712,976","$17,453,737.60",1.41%
06/09/2026,ARKG,ATAIBECKLEY INC,ATAI UQ,04650F101,"3,974,581","$15,143,153.61",1.22%
06/09/2026,ARKG,908 DEVICES INC,MASS,65443P102,"1,770,755","$14,343,115.50",1.16%
06/09/2026,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"9,879,459","$13,633,653.42",1.10%
06/09/2026,ARKG,PRIME MEDICINE INC,PRME,74168J101,"4,467,252","$13,223,065.92",1.07%
06/09/2026,ARKG,ELI LILLY & CO,LLY,532457108,"11,416","$13,118,696.40",1.06%
06/09/2026,ARKG,ALAMAR BIOSCIENCES INC,ALMR,010911105,"541,068","$10,393,916.28",0.84%
06/09/2026,ARKG,BIONTECH SE-ADR,BNTX,09075V102,"115,148","$9,845,154.00",0.79%
06/09/2026,ARKG,QUANTUM-SI INC,QSI,74765K105,"6,283,314","$6,660,312.84",0.54%
06/09/2026,ARKG,GENERATE BIOMEDICINES INC,GENB,370920100,"456,715","$5,836,817.70",0.47%
06/09/2026,ARKG,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"3,282,383","$3,282,383.49",0.26%
"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs' prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs’ portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses.Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above or below the ARK ETF’s net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose ValueAll statements made regarding companies, securities or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice.Foreside Fund Services, LLC, distributor.© 2026. ARK ETF Trust. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission."
