date,fund,company,ticker,cusip,weight (%)
07/31/2026,ARKSX,SpaceX,SPCX,84615Q103,8.72%
07/31/2026,ARKSX,OpenAI,,,5.88%
07/31/2026,ARKSX,"Stripe, Inc.",,,4.65%
07/31/2026,ARKSX,"Anthropic, Inc.",,,4.32%
07/31/2026,ARKSX,"Lila Sciences, Inc.",,,4.16%
07/31/2026,ARKSX,Tenstorrent Holdings Inc.,,,3.59%
07/31/2026,ARKSX,Ayar Labs,,,2.92%
07/31/2026,ARKSX,Kalshi Inc.,,,2.86%
07/31/2026,ARKSX,Figure AI Inc.,,,2.63%
07/31/2026,ARKSX,Wayve,,,2.61%
07/31/2026,ARKSX,"Replit, Inc.",,,2.60%
07/31/2026,ARKSX,"Crusoe Inc ",,,2.34%
07/31/2026,ARKSX,"Databricks, Inc.",,,2.30%
07/31/2026,ARKSX,K2 Space,,,2.15%
07/31/2026,ARKSX,"Freenome, Inc",,,1.96%
07/31/2026,ARKSX,"Boom Technology, Inc.",,,1.94%
07/31/2026,ARKSX,Shield AI,,,1.92%
07/31/2026,ARKSX,"Cellares inc. ",,,1.82%
07/31/2026,ARKSX,Zipline International Inc.,,,1.80%
07/31/2026,ARKSX,"Wonder Group, Inc.",,,1.74%
07/31/2026,ARKSX,Neuralink Corp.,,,1.59%
07/31/2026,ARKSX,"Hydra Host, inc.",,,1.52%
07/31/2026,ARKSX,"Lambda, Inc.",,,1.52%
07/31/2026,ARKSX,"Alamar Biosciences, Inc.",ALMR,010911105,1.47%
07/31/2026,ARKSX,Manna Drone Delivery Inc.,,,1.31%
07/31/2026,ARKSX,Alphabet Inc.,GOOG,02079K206,1.27%
07/31/2026,ARKSX,Tempus AI,TEM,88023B103,1.25%
07/31/2026,ARKSX,"Epic Games, Inc",,,1.17%
07/31/2026,ARKSX,Absci,ABSI,00091E109,1.10%
07/31/2026,ARKSX,"Iambic Therapeutics, Inc.",,,1.09%
07/31/2026,ARKSX,CRISPR Therapeutics AG,CRSP,H17182108,1.04%
07/31/2026,ARKSX,Lucra Inc.,,,1.03%
07/31/2026,ARKSX,Beam Therapeutics,BEAM,07373V105,1.02%
07/31/2026,ARKSX,NVIDIA Corporation,NVDA,67066G104,1.02%
07/31/2026,ARKSX,"Radiant Industries, Inc",,,0.96%
07/31/2026,ARKSX,"X-energy Reactor Company, LLC",XE,98386P102,0.94%
07/31/2026,ARKSX,Architect Financial Technologies Inc.,,,0.90%
