date,fund,company,ticker,cusip,shares,market value ($),weight (%)
02/09/2026,ARKW,TESLA INC,TSLA,88160R101,"398,551","$163,848,301.61",10.13%
02/09/2026,ARKW,ADVANCED MICRO DEVICES,AMD,007903107,"571,343","$119,090,734.92",7.36%
02/09/2026,ARKW,ARK BITCOIN ETF HOLDCO (ARKW),,MM0051EWE,"4,346,374","$101,009,297.12",6.24%
02/09/2026,ARKW,ROKU INC,ROKU,77543R102,"966,815","$83,001,067.75",5.13%
02/09/2026,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,"879,409","$72,832,653.38",4.50%
02/09/2026,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,"601,333","$67,379,362.65",4.17%
02/09/2026,ARKW,ALPHABET INC-CL C,GOOG,02079K107,"189,527","$61,236,173.70",3.79%
02/09/2026,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,"842,002","$55,925,772.84",3.46%
02/09/2026,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"327,830","$54,131,289.60",3.35%
02/09/2026,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,"154,949","$54,053,958.65",3.34%
02/09/2026,ARKW,COREWEAVE INC-CL A,CRWV,21873S108,"576,041","$51,814,887.95",3.20%
02/09/2026,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"351,074","$47,710,956.60",2.95%
02/09/2026,ARKW,META PLATFORMS INC-CLASS A,META,30303M102,"65,467","$43,303,801.82",2.68%
02/09/2026,ARKW,CIRCLE INTERNET GROUP INC,CRCL,172573107,"747,233","$42,622,170.32",2.63%
02/09/2026,ARKW,BLOCK INC,XYZ,852234103,"739,675","$41,399,609.75",2.56%
02/09/2026,ARKW,BROADCOM INC,AVGO,11135F101,"103,360","$34,410,611.20",2.13%
02/09/2026,ARKW,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,"1,641,120","$33,593,726.40",2.08%
02/09/2026,ARKW,AMAZON.COM INC,AMZN,023135106,"156,715","$32,960,298.80",2.04%
02/09/2026,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"74,719","$29,551,364.50",1.83%
02/09/2026,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,"162,523","$28,150,608.83",1.74%
02/09/2026,ARKW,BAIDU INC - SPON ADR,BIDU,056752108,"183,167","$26,729,560.31",1.65%
02/09/2026,ARKW,NVIDIA CORP,NVDA,67066G104,"144,328","$26,759,854.48",1.65%
02/09/2026,ARKW,BULLISH,BLSH,G16910120,"950,128","$26,081,013.60",1.61%
02/09/2026,ARKW,DATADOG INC - CLASS A,DDOG,23804L103,"204,439","$22,833,791.91",1.41%
02/09/2026,ARKW,PURE STORAGE INC - CLASS A,PSTG,74624M102,"300,173","$21,309,281.27",1.32%
02/09/2026,ARKW,GITLAB INC-CL A,GTLB,37637K108,"652,213","$20,955,603.69",1.30%
02/09/2026,ARKW,DOORDASH INC - A,DASH,25809K105,"107,448","$19,606,036.56",1.21%
02/09/2026,ARKW,MERCADOLIBRE INC,MELI,58733R102,"9,783","$19,273,977.45",1.19%
02/09/2026,ARKW,RUBRIK INC-A,RBRK,781154109,"378,433","$19,326,573.31",1.19%
02/09/2026,ARKW,NETFLIX INC,NFLX,64110L106,"233,153","$19,165,176.60",1.18%
02/09/2026,ARKW,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"710,494","$18,913,350.28",1.17%
02/09/2026,ARKW,AIRBNB INC-CLASS A,ABNB,009066101,"147,592","$18,032,790.56",1.11%
02/09/2026,ARKW,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,"102,314","$16,627,048.14",1.03%
02/09/2026,ARKW,TOAST INC-CLASS A,TOST,888787108,"567,504","$15,736,885.92",0.97%
02/09/2026,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"35,054","$14,814,170.94",0.92%
02/09/2026,ARKW,GENIUS SPORTS LTD,GENI,G3934V109,"2,187,134","$13,319,646.06",0.82%
02/09/2026,ARKW,PINTEREST INC- CLASS A,PINS,72352L106,"642,699","$12,596,900.40",0.78%
02/09/2026,ARKW,NEXTDOOR HOLDINGS INC,NXDR,65345M108,"7,173,941","$12,482,657.34",0.77%
02/09/2026,ARKW,UNITY SOFTWARE INC,U,91332U101,"495,215","$12,434,848.65",0.77%
02/09/2026,ARKW,FIGMA INC-CL A,,316841105,"465,088","$10,227,285.12",0.63%
02/09/2026,ARKW,PAGERDUTY INC,PD,69553P100,"1,113,334","$8,951,205.36",0.55%
02/09/2026,ARKW,SALESFORCE INC,CRM,79466L302,"41,003","$7,845,924.05",0.49%
02/09/2026,ARKW,3IQ ETHER STAKING ETF,ETHQ/U,BQ84B35,"883,225","$7,039,303.25",0.44%
02/09/2026,ARKW,3IQ SOLANA STAKING ETF,SOLQ/U,BTRDQ40,"455,320","$3,191,793.20",0.20%
02/09/2026,ARKW,BRERA HOLDINGS PLC-CL B,SLMT,G13311116,"1,848,217","$2,143,931.72",0.13%
02/09/2026,ARKW,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"1,806,813","$1,806,812.84",0.11%
02/09/2026,ARKW,BRERA HOLDINGS PLC WTS,,BREADUMMY,"1,395,691","$1,158,423.53",0.07%
02/09/2026,ARKW,TRADE DESK INC/THE -CLASS A,TTD,88339J105,"5,605","$151,559.20",0.01%
02/09/2026,ARKW,QUALCOMM INC,QCOM,747525103,196,"$26,918.64",0.00%
