date,fund,company,ticker,cusip,weight (%)
04/30/2026,ARKVX,SpaceX,,,13.76%
04/30/2026,ARKVX,OpenAI,,,9.29%
04/30/2026,ARKVX,Kalshi Inc.,,,4.34%
04/30/2026,ARKVX,"Replit, Inc.",,,3.83%
04/30/2026,ARKVX,Ayar Labs,,,3.48%
04/30/2026,ARKVX,Figure AI Inc.,,,3.27%
04/30/2026,ARKVX,"Anthropic, Inc.",,,2.96%
04/30/2026,ARKVX,"Databricks, Inc.",,,2.56%
04/30/2026,ARKVX,Zipline International Inc.,,,2.36%
04/30/2026,ARKVX,"Radiant Industries, Inc",,,2.18%
04/30/2026,ARKVX,"Boom Technology, Inc.",,,2.15%
04/30/2026,ARKVX,Neuralink Corp.,,,2.12%
04/30/2026,ARKVX,"X-energy Reactor Company, LLC",,,2.10%
04/30/2026,ARKVX,Absci,ABSI,00091E109,1.92%
04/30/2026,ARKVX,"Hydra Host, inc.",,,1.92%
04/30/2026,ARKVX,Beam Therapeutics,BEAM,07373V105,1.85%
04/30/2026,ARKVX,Manna Drone Delivery Inc.,,,1.77%
04/30/2026,ARKVX,Tenstorrent Holdings Inc.,,,1.75%
04/30/2026,ARKVX,"Alamar Biosciences, Inc.",ALMR,010911105,1.71%
04/30/2026,ARKVX,Tempus AI,TEM,88023B103,1.71%
04/30/2026,ARKVX,CRISPR Therapeutics AG,CRSP,H17182108,1.66%
04/30/2026,ARKVX,"Epic Games, Inc",,,1.57%
04/30/2026,ARKVX,"Iambic Therapeutics, Inc.",,,1.56%
04/30/2026,ARKVX,Lambda,,,1.54%
04/30/2026,ARKVX,Canton Strategic Holdings,THAR,432705309,1.35%
04/30/2026,ARKVX,Shield AI,,,1.32%
04/30/2026,ARKVX,"Securitize, Inc.",,,1.28%
04/30/2026,ARKVX,Lucra Inc.,,,1.27%
04/30/2026,ARKVX,"Apptronik, Inc.",,,1.26%
04/30/2026,ARKVX,Crusoe Inc,,,1.26%
04/30/2026,ARKVX,Impulse Labs Inc.,,,1.25%
04/30/2026,ARKVX,"10x Genomics, Inc.",TXG,88025U109,1.24%
04/30/2026,ARKVX,Prime Medicine,PRME,74168J101,1.13%
04/30/2026,ARKVX,"Kodiak Robotics, Inc.",KDK,500081104,1.07%
04/30/2026,ARKVX,Intellia Therapeutics,NTLA,45826J105,0.98%
04/30/2026,ARKVX,Gatik AI Inc.,,,0.78%
04/30/2026,ARKVX,Discord Inc.,,,0.70%
04/30/2026,ARKVX,"Hammerspace, Inc.",,,0.70%
04/30/2026,ARKVX,Portal Space Systems,,,0.67%
04/30/2026,ARKVX,"Hark Labs, Inc.",,,0.64%
04/30/2026,ARKVX,"Tesla, Inc.",TSLA,88160R101,0.64%
04/30/2026,ARKVX,"Generate:Biomedicines, Inc.",GENB,370920100,0.51%
04/30/2026,ARKVX,Twist Biosciences,TWST,90184D100,0.51%
04/30/2026,ARKVX,Architect Financial Technologies Inc.,,,0.50%
04/30/2026,ARKVX,GeneDx Holdings Corp,WGS,81663L200,0.49%
04/30/2026,ARKVX,"Mythical, Inc.",,,0.48%
04/30/2026,ARKVX,"Recursion Pharmaceuticals, Inc.",RXRX,75629V104,0.48%
04/30/2026,ARKVX,"Robinhood Markets, Inc.",HOOD,770700102,0.48%
04/30/2026,ARKVX,"Perplexity AI, Inc.",,,0.45%
04/30/2026,ARKVX,"Blockdaemon, inc.",,,0.43%
04/30/2026,ARKVX,Revolut Group Holdings LTD,,,0.41%
04/30/2026,ARKVX,"Lila Sciences, Inc.",,,0.40%
04/30/2026,ARKVX,Relation Therapeutics Inc.,,,0.40%
04/30/2026,ARKVX,"Groq, Inc.",,,0.38%
04/30/2026,ARKVX,Umoja Biopharma,,,0.34%
04/30/2026,ARKVX,"Coinbase Global, Inc.",COIN,19260Q107,0.32%
04/30/2026,ARKVX,Shopify Inc.,SHOP,82509L107,0.31%
04/30/2026,ARKVX,"Pacific Biosciences of California, Inc.",PACB,69404D108,0.28%
04/30/2026,ARKVX,Archer Aviation Inc.,ACHR,03945R102,0.27%
04/30/2026,ARKVX,"Bitmine Immersion Technologies, Inc.",BMNR,09175A206,0.27%
04/30/2026,ARKVX,Roblox Corporation,RBLX,771049103,0.26%
04/30/2026,ARKVX,"Freenome, Inc",,,0.16%
04/30/2026,ARKVX,Chipper Cash,,,0.14%
04/30/2026,ARKVX,"Outrider Technologies, Inc.",,,0.14%
04/30/2026,ARKVX,"GameFam, Inc.",,,0.13%
04/30/2026,ARKVX,"Firmly, Inc.",,,0.10%
04/30/2026,ARKVX,"Atomic Vaults, Inc.",,,0.09%
04/30/2026,ARKVX,"KINO Tech, Inc.",,,0.09%
04/30/2026,ARKVX,"Axiom Space, Inc.",,,0.08%
04/30/2026,ARKVX,Pave Financial Inc.,,,0.08%
04/30/2026,ARKVX,Tilda Technologies Inc. (DBA Humata),,,0.03%
04/30/2026,ARKVX,Sortium Inc.,,,0.02%
04/30/2026,ARKVX,"Flexport, Inc",,,0.01%
"Holdings are subject to change. Not a recommendation to buy, sell, or hold any specific security. You should not expect to be able to sell your Shares other than through the Fund’s repurchase policy, regardless of how the Fund performs. The Fund’s Shares will not be listed on any securities exchange, and the Fund does not expect a secondary market in the Shares to develop. Shares may be transferred or sold only in accordance with the Fund’s prospectus. Although the Fund will offer to repurchase Shares on a quarterly basis, Shares are not redeemable and there is no guarantee that shareholders will be able to sell all of their tendered Shares during a quarterly repurchase offer. An investment in the Fund’s Shares is not suitable for investors that require liquidity, other than liquidity provided through the Fund’s repurchase policy. The ARK Venture Fund is a continuously-offered, nondiversified, registered closed-end fund with limited liquidity.&nbsp;All statements made regarding investment opportunities are strictly beliefs and points of view held by ARK and investors should determine for themselves whether a particular investment or service is suitable for their investment needs. Certain statements contained in this document may be statements of future expectations and other forward-looking statements that are based on ARK’s current views and assumptions, and involve known and unknown risks and uncertainties that could cause actual results, performance or events to differ materially from those expressed or implied in such statements. The matters discussed in this document may also involve risks and uncertainties described from time to time in ARK’s filings with the U.S. Securities and Exchange Commission. ARK assumes no obligation to update any forward-looking information contained in this presentation. Past performance is not a guarantee of future results. Investors should carefully consider the investment objectives and risks as well as charges and expenses of the ARK Venture Fund before investing. This and other information are contained in the ARK Venture Fund’s prospectus, which may be obtained by visiting ark-funds.com/funds/arkvx. The prospectus should be read carefully before investing. An investment in the ARK Venture Fund is subject to risks and you can lose money on your investment in the ARK Venture Fund. There can be no assurance that the ARK Venture Fund will achieve its investment objectives. The ARK Venture Fund’s portfolio is more volatile than broad market averages. The ARK Venture Fund also has specific risks, which are described below. More detailed information regarding these risks can be found in the ARK Venture Fund’s prospectus. ARK Investment Management LLC is the investment adviser to the ARK Venture Fund.&nbsp;Foreside Fund Services, LLC, distributor.&nbsp;© 2026. ARK Venture Fund. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission."
