m,start,end,n0,n1,add,rem,nt,si,se,si_abs,se_abs,sh0,sh0c,ntd,sid,sed,tt,ta,tt_usd,ta_usd,ta_cov,days,partial
2019-03,2019-02-28,2019-03-29,29,31,2,0,0.069,0.1599,0.1163,125040.0,90979.0,781987.0,781987.0,0.0678,0.1701,0.1307,0.1701,,7441909.0,,,21,
2019-04,2019-03-29,2019-04-30,31,31,0,0,0.0,0.1363,0.1363,123549.0,123549.0,906629.0,906629.0,0.0,0.1549,0.1549,0.1549,,7573175.0,,,21,
2019-05,2019-04-30,2019-05-31,31,32,1,0,0.0323,0.1942,0.1554,195615.0,156569.0,1007282.0,1007282.0,0.0323,0.2218,0.1933,0.2218,,12866793.0,,,22,
2019-06,2019-05-31,2019-06-28,32,32,1,1,0.0625,0.0744,0.0552,86808.0,63384.0,1166059.0,1149031.0,0.0616,0.0848,0.0672,0.0848,,7082957.0,,,20,
2019-07,2019-06-28,2019-07-31,32,32,0,0,0.0,0.0449,0.0449,52291.0,52291.0,1165667.0,1165667.0,0.0,0.0475,0.0475,0.0475,,5275148.0,,,22,
2019-08,2019-07-31,2019-08-30,32,34,2,0,0.0625,0.1289,0.0854,155044.0,102693.0,1202778.0,1202778.0,0.0625,0.1366,0.0941,0.1366,,7819176.0,,,22,
2019-09,2019-08-30,2019-09-30,34,34,1,1,0.0588,0.0825,0.0646,103605.0,79920.0,1255912.0,1236354.0,0.058,0.084,0.065,0.084,,3798597.0,,,20,
2019-10,2019-09-30,2019-10-31,34,35,1,0,0.0294,0.1329,0.1282,161094.0,155324.0,1211783.0,1211783.0,0.0294,0.146,0.1411,0.146,,8067359.0,,,23,
2019-11,2019-10-31,2019-11-29,35,35,1,1,0.0571,0.0772,0.0522,92006.0,61218.0,1191379.0,1173012.0,0.058,0.0796,0.0619,0.0796,,6142555.0,,,20,
2019-12,2019-11-29,2019-12-31,35,35,0,0,0.0,0.127,0.127,154174.0,154174.0,1213871.0,1213871.0,0.0,0.1386,0.1386,0.1386,,12465870.0,,,21,
2020-01,2019-12-31,2020-01-31,35,35,1,1,0.0571,0.1589,0.1393,200694.0,173720.0,1262841.0,1247466.0,0.0571,0.19,0.1698,0.19,,15625168.0,,,21,
2020-02,2020-01-31,2020-02-28,35,35,0,0,0.0,0.1888,0.1888,259723.0,259723.0,1375715.0,1375715.0,0.0,0.2177,0.2177,0.2177,,22767963.0,,,19,
2020-03,2020-02-28,2020-03-31,35,32,0,3,0.0857,0.2317,0.1469,375603.0,214559.0,1621302.0,1460258.0,0.0874,0.2742,0.1965,0.2742,,22235982.0,,,22,
2020-04,2020-03-31,2020-04-30,32,34,2,0,0.0625,0.1522,0.1229,242343.0,195774.0,1592663.0,1592663.0,0.0616,0.1551,0.1341,0.1551,,9294920.0,,,21,
2020-05,2020-04-30,2020-05-29,34,34,0,0,0.0,0.3345,0.3345,594740.0,594740.0,1778204.0,1778204.0,0.0,0.3306,0.3306,0.3306,,37500766.0,,,20,
2020-06,2020-05-29,2020-06-30,34,35,1,0,0.0294,0.3851,0.3561,902341.0,834388.0,2343060.0,2343060.0,0.0294,0.3695,0.3584,0.3695,,59403769.0,,,21,
2020-07,2020-06-30,2020-07-31,35,35,0,0,0.0,0.4107,0.4107,1331834.0,1331834.0,3242836.0,3242836.0,0.0,0.4202,0.4202,0.4202,,116781696.0,,,22,
2020-08,2020-07-31,2020-08-31,35,36,1,0,0.0286,0.5357,0.5205,2408851.0,2340317.0,4496617.0,4496617.0,0.0286,0.4948,0.4897,0.4948,,206680184.0,,,21,
2020-09,2020-08-31,2020-09-30,36,36,0,0,0.0,0.2266,0.2266,1564923.0,1564923.0,6905467.0,6905467.0,0.0563,0.3893,0.3684,0.3893,,227414846.0,,,21,
2020-10,2020-09-30,2020-10-30,36,39,3,0,0.0833,0.3126,0.2792,2509448.0,2241216.0,8028344.0,8028344.0,0.0811,0.31,0.2895,0.31,,277626605.0,,,22,
2020-11,2020-10-30,2020-11-30,39,40,2,1,0.0769,0.2191,0.2018,2286515.0,2105687.0,10434842.0,10434828.0,0.0776,0.2756,0.2611,0.2756,,303560956.0,,,20,
2020-12,2020-11-30,2020-12-31,40,38,1,3,0.1,0.5322,0.5025,6685656.0,5973826.0,12561649.0,11888367.0,0.15,0.6466,0.5345,0.6466,,834681767.0,,,22,
2021-01,2020-12-31,2021-01-29,38,38,0,0,0.0,0.3264,0.3264,5198979.0,5198979.0,15928949.0,15928949.0,0.0,0.2916,0.2916,0.2916,,715895728.0,,,19,
2021-02,2021-01-29,2021-02-26,38,40,2,0,0.0526,0.6206,0.5961,13106531.0,12589334.0,21119088.0,21119088.0,0.1053,0.6235,0.6072,0.6235,,2385976379.0,,,19,
2021-03,2021-02-26,2021-03-31,40,39,0,1,0.025,0.1204,0.1203,3882916.0,3882464.0,32261498.0,32261046.0,0.025,0.2603,0.2603,0.2603,,987855168.0,,,23,
