m,start,end,n0,n1,add,rem,nt,si,se,tt,tt_usd,ta,ta_usd,ta_cov,sh0,partial
2014-11,2014-10-31,2014-11-28,52,53,1,0,0.019230769230769232,0.4885769176502536,0.48716802532220566,0.48857691765025363,1072302.3137599477,,,,216482.1214,
2014-12,2014-11-28,2014-12-31,53,51,1,3,0.07547169811320754,0.3440141949530634,0.33489570124861134,0.34401419495306335,1248789.1466252843,,,,320056.289,
2015-01,2014-12-31,2015-01-30,51,51,0,0,0.0,0.0,0.0,0.0,0.0,,,,420868.2956,
2015-02,2015-01-30,2015-02-27,51,49,4,6,0.19607843137254902,0.3066901670889367,0.2892483724504153,0.314499419138475,1986096.230737159,,,,420868.2956,
2015-03,2015-02-27,2015-03-31,49,49,1,1,0.04081632653061224,0.4901732866922165,0.4593088088327223,0.5042674412322491,3007491.733186954,,,,534579.3944999999,
2015-04,2015-03-31,2015-04-30,49,52,4,1,0.10204081632653061,0.031662384216083736,0.023253977199926362,0.03689455372235463,778239.8330967794,,,,738125.9333,
2015-05,2015-04-30,2015-05-29,52,49,0,3,0.057692307692307696,0.2537888559312583,0.23705809981301823,0.4199721259226842,2505171.1328114737,,,,740471.6492,
2015-06,2015-05-29,2015-06-30,49,48,1,2,0.061224489795918366,0.021911629532288222,0.014498908409994776,0.021911629532288222,747388.3391254526,,,,891275.6019,
2015-07,2015-06-30,2015-07-31,48,48,3,3,0.125,0.26450237076447736,0.24071275595262404,0.2689850161022263,1648974.359499,,,,894114.9027,
2015-08,2015-07-31,2015-08-31,48,45,0,3,0.0625,0.08041406002968575,0.05360001446487264,0.08098251554627937,1255897.490952362,,,,1076601.3912,
2015-09,2015-08-31,2015-09-30,45,43,0,2,0.044444444444444446,0.14798611480791082,0.14704600655187394,0.14933140779293422,1101085.1150771645,,,,1040665.5022999999,
2015-10,2015-09-30,2015-10-30,43,44,2,1,0.06976744186046512,0.3119426688740183,0.3086271518024447,0.31471217796042206,1566227.6473316315,,,,918574.3467999999,
2015-11,2015-10-30,2015-11-30,44,43,0,1,0.022727272727272728,0.20878180694416543,0.2070348824517219,0.2093870344636239,917969.6044495925,,,,660908.4801,
2015-12,2015-11-30,2015-12-31,43,42,0,1,0.023255813953488372,0.022705459900970545,0.022189788545504054,0.022705459900970545,414918.18,,,,563484.1468,
2016-01,2015-12-31,2016-01-29,42,40,2,4,0.14285714285714285,0.11484830873948514,0.09672541631977502,0.24423660880979525,1197455.2078497405,,,,566449.9800999999,
2016-02,2016-01-29,2016-02-29,40,38,0,2,0.05,0.03879364162353533,0.027454273777285435,0.04898998693491045,719100.903076621,,,,601195.8023,
2016-03,2016-02-29,2016-03-31,38,36,0,2,0.05263157894736842,0.03396716834835783,0.022990642364479064,0.03396716834835783,450874.94965270406,,,,586213.1277999999,
2016-04,2016-03-31,2016-04-29,36,37,1,0,0.027777777777777776,0.21576345843385608,0.21285720562436905,0.21781831627352835,681874.1299999999,,,,590795.1278,
2016-05,2016-04-29,2016-05-31,37,36,2,3,0.13513513513513514,0.1465295228363662,0.12540125428045718,0.1635594274974447,1124025.1297949331,,,,478361.1278,
2016-06,2016-05-31,2016-06-30,36,34,0,2,0.05555555555555555,0.09026696665316017,0.07581977294463806,0.09026696665316017,929679.8799999999,,,,450153.6,
2016-07,2016-06-30,2016-07-29,34,36,2,0,0.058823529411764705,0.09840767580062465,0.09490341985103717,0.09941990164845581,1084237.6789812564,,,,434685.6,
2016-08,2016-07-29,2016-08-31,36,35,1,2,0.08333333333333333,0.2407559509593381,0.22303116142518523,0.2500431972453587,1502210.087818594,,,,424237.6996,
2016-09,2016-08-31,2016-09-30,35,33,1,3,0.11428571428571428,0.15667809209214634,0.1106474914053593,0.18062282072070576,1684216.5527241477,,,,389981.4504,
2016-10,2016-09-30,2016-10-31,33,30,0,3,0.09090909090909091,0.1459346869151542,0.12951552683179582,0.14604109613961289,1481223.1675749884,,,,401281.0,
2016-11,2016-10-31,2016-11-30,30,30,0,0,0.0,0.22963401765336905,0.22963401765336905,0.7442598786794019,4996157.03778026,,,,373494.3837,
2016-12,2016-11-30,2016-12-30,30,29,0,1,0.03333333333333333,0.06231940320351464,0.061901148559025225,0.06517034657694887,641784.7317066179,,,,396991.3996,
2017-01,2016-12-30,2017-01-31,29,30,1,0,0.034482758620689655,0.06645311094755907,0.056139226939528414,0.06645311094755907,718877.7199999999,,,,394031.9667,
2017-02,2017-01-31,2017-02-28,30,34,4,0,0.13333333333333333,0.157773816044644,0.13965089913738618,0.21953960598988068,2049656.3056705014,,,,409812.6167,
