m,start,end,n0,n1,add,rem,nt,si,se,si_abs,se_abs,sh0,sh0c,ntd,sid,sed,tt,ta,tt_usd,ta_usd,ta_cov,days,partial
2014-11,2014-10-31,2014-11-28,49,49,1,1,0.0408,0.01,0.0057,3565.0,2020.0,355863.0,354903.0,0.0408,0.01,0.0057,0.01,,194231.0,,,19,
2014-12,2014-11-28,2014-12-31,49,48,3,4,0.1429,0.3338,0.3204,119112.0,113061.0,356788.0,352912.0,0.1429,0.3338,0.3204,0.3338,,1735664.0,,,22,
2015-01,2014-12-31,2015-01-30,48,48,0,0,0.0,0.0,0.0,0.0,0.0,454798.0,454798.0,0.0,0.0,0.0,0.0,,0.0,,,20,
2015-02,2015-01-30,2015-02-27,48,51,7,4,0.2292,0.2323,0.2049,105662.0,92297.0,454798.0,450355.0,0.2262,0.3413,0.3197,0.3413,,2838384.0,,,19,
2015-03,2015-02-27,2015-03-31,51,53,4,2,0.1176,0.312,0.2849,167060.0,148783.0,535454.0,522181.0,0.1546,0.4635,0.4307,0.4635,,2441876.0,,,22,
2015-04,2015-03-31,2015-04-30,53,51,1,3,0.0755,0.1253,0.1183,83925.0,78961.0,669876.0,667628.0,0.0755,0.1344,0.1294,0.1344,,1696113.0,,,21,
2015-05,2015-04-30,2015-05-29,51,49,2,4,0.1176,0.2261,0.2084,141011.0,128418.0,623697.0,616081.0,0.1605,0.2238,0.2035,0.2238,,1733124.0,,,20,
2015-06,2015-05-29,2015-06-30,49,51,3,1,0.0816,0.0835,0.0783,60043.0,56234.0,719026.0,718111.0,0.0804,0.0876,0.0833,0.0876,,1048326.0,,,22,
2015-07,2015-06-30,2015-07-31,51,50,3,4,0.1373,0.1166,0.1056,88046.0,79014.0,754921.0,747890.0,0.1409,0.119,0.1086,0.119,,1893224.0,,,22,
2015-08,2015-07-31,2015-08-31,50,51,3,2,0.1,0.2321,0.2142,188220.0,173234.0,810909.0,808595.0,0.0973,0.25,0.2382,0.25,,1736103.0,,,21,
2015-09,2015-08-31,2015-09-30,51,51,1,1,0.0392,0.1486,0.1425,102174.0,97704.0,687415.0,685454.0,0.0396,0.2928,0.2899,0.2928,,2010792.0,,,21,
2015-10,2015-09-30,2015-10-30,51,48,1,4,0.098,0.5923,0.2936,394403.0,193253.0,665871.0,658187.0,0.1004,0.625,0.5024,0.625,,1945472.0,,,22,
2015-11,2015-10-30,2015-11-30,48,51,4,1,0.1042,0.0876,0.0686,62282.0,48692.0,710730.0,710262.0,0.1038,0.0935,0.0861,0.0935,,1421180.0,,,20,
2015-12,2015-11-30,2015-12-31,51,50,0,1,0.0196,0.0527,0.0521,38328.0,37891.0,727342.0,726905.0,0.0196,0.057,0.0564,0.057,,491063.0,,,22,
2016-01,2015-12-31,2016-01-29,50,42,0,8,0.16,0.2476,0.2062,173883.0,137212.0,702162.0,665491.0,0.2117,0.2474,0.2071,0.2474,,1736860.0,,,19,
2016-02,2016-01-29,2016-02-29,42,38,0,4,0.0952,0.0576,0.0467,45971.0,36878.0,798149.0,789056.0,0.0988,0.0906,0.0797,0.0906,,1559912.0,,,20,
2016-03,2016-02-29,2016-03-31,38,41,4,1,0.1316,0.0668,0.0545,52925.0,43126.0,792870.0,790592.0,0.1264,0.0677,0.0566,0.0677,,926304.0,,,22,
2016-04,2016-03-31,2016-04-29,41,41,0,0,0.0,0.0923,0.0923,70717.0,70717.0,766423.0,766423.0,0.0,0.1004,0.1004,0.1004,,1179516.0,,,21,
2016-05,2016-04-29,2016-05-31,41,41,5,5,0.2439,0.1527,0.1391,109720.0,99111.0,718514.0,712607.0,0.2565,0.1602,0.1458,0.1602,,1943987.0,,,21,
2016-06,2016-05-31,2016-06-30,41,42,3,2,0.122,0.17,0.1194,115955.0,80444.0,682236.0,673478.0,0.1629,0.2189,0.1976,0.2189,,2263155.0,,,22,
