m,start,end,n0,n1,add,rem,nt,si,se,si_abs,se_abs,sh0,sh0c,ntd,sid,sed,tt,ta,tt_usd,ta_usd,ta_cov,days,partial
2014-11,2014-10-31,2014-11-28,49,48,1,2,0.0612,0.3047,0.298,173343.0,168343.0,568902.0,564978.0,0.0621,0.3244,0.3181,0.3244,,2840810.0,,,19,
2014-12,2014-11-28,2014-12-31,48,47,0,1,0.0208,0.0309,0.0285,22673.0,20860.0,734035.0,732222.0,0.0208,0.0309,0.0287,0.0309,,743995.0,,,22,
2015-01,2014-12-31,2015-01-30,47,44,0,3,0.0638,0.2356,0.2301,173037.0,167783.0,734461.0,729207.0,0.0652,0.2216,0.2158,0.2216,,1254574.0,,,20,
2015-02,2015-01-30,2015-02-27,44,47,4,1,0.1136,0.1368,0.1253,119753.0,109241.0,875630.0,871534.0,0.1111,0.1445,0.134,0.1445,,2279543.0,,,19,
2015-03,2015-02-27,2015-03-31,47,45,2,4,0.1277,0.0688,0.0595,67162.0,57675.0,975845.0,968603.0,0.1329,0.0685,0.0598,0.0685,,1955657.0,,,22,
2015-04,2015-03-31,2015-04-30,45,45,3,3,0.1333,0.2502,0.2351,245501.0,229214.0,981321.0,974892.0,0.1329,0.3582,0.3492,0.3582,,4816926.0,,,21,
2015-05,2015-04-30,2015-05-29,45,45,1,1,0.0444,0.2029,0.1988,245719.0,240310.0,1210769.0,1208501.0,0.044,0.1957,0.1927,0.1957,,1674556.0,,,20,
2015-06,2015-05-29,2015-06-30,45,46,2,1,0.0667,0.1552,0.1525,213070.0,209278.0,1372550.0,1372516.0,0.0652,0.1699,0.1678,0.1699,,2652089.0,,,22,
2015-07,2015-06-30,2015-07-31,46,44,1,3,0.087,0.1577,0.1488,243248.0,227198.0,1542665.0,1527188.0,0.0884,0.1539,0.1502,0.1539,,2659266.0,,,22,
2015-08,2015-07-31,2015-08-31,44,42,0,2,0.0455,0.074,0.0697,126913.0,119052.0,1715060.0,1707199.0,0.046,0.078,0.0734,0.078,,2468497.0,,,21,
2015-09,2015-08-31,2015-09-30,42,42,1,1,0.0476,0.0628,0.0562,105181.0,93694.0,1673567.0,1666476.0,0.0476,0.0632,0.0608,0.0632,,1286774.0,,,20,
2015-10,2015-09-30,2015-10-30,42,40,0,2,0.0476,0.2865,0.276,461541.0,438285.0,1611030.0,1587774.0,0.0476,0.3231,0.3098,0.3231,,1671076.0,,,22,
2015-11,2015-10-30,2015-11-30,40,41,2,1,0.075,0.1631,0.1443,196138.0,173005.0,1202207.0,1198747.0,0.075,0.1676,0.1568,0.1676,,1653106.0,,,20,
2015-12,2015-11-30,2015-12-31,41,40,0,1,0.0244,0.016,0.0063,17815.0,6949.0,1111699.0,1100833.0,0.0244,0.016,0.0069,0.016,,330555.0,,,22,
2016-01,2015-12-31,2016-01-29,40,40,1,1,0.05,0.213,0.2097,235198.0,231215.0,1104052.0,1102439.0,0.0494,0.2053,0.2028,0.2053,,1741828.0,,,19,
2016-02,2016-01-29,2016-02-29,40,36,0,4,0.1,0.1124,0.0903,139973.0,109784.0,1245780.0,1215591.0,0.104,0.1243,0.1063,0.1243,,1285884.0,,,20,
2016-03,2016-02-29,2016-03-31,36,35,1,2,0.0833,0.0389,0.035,50459.0,45344.0,1297669.0,1295037.0,0.0849,0.0388,0.0359,0.0388,,1508896.0,,,21,
2016-04,2016-03-31,2016-04-29,35,35,0,0,0.0,0.0822,0.0822,105681.0,105681.0,1286371.0,1286371.0,0.0,0.1017,0.1017,0.1017,,1992937.0,,,21,
2016-05,2016-04-29,2016-05-31,35,36,1,0,0.0286,0.1121,0.1118,153007.0,152530.0,1364828.0,1364828.0,0.0286,0.1188,0.1185,0.1188,,1466493.0,,,20,
2016-06,2016-05-31,2016-06-30,36,37,1,0,0.0278,0.0234,0.0224,29993.0,28616.0,1279075.0,1279075.0,0.0278,0.0233,0.0228,0.0233,,1671820.0,,,22,
2016-07,2016-06-30,2016-07-29,37,38,3,2,0.1351,0.0985,0.0862,128091.0,110960.0,1299884.0,1287725.0,0.133,0.1002,0.0945,0.1002,,2585507.0,,,20,
2016-08,2016-07-29,2016-08-31,38,36,0,2,0.0526,0.086,0.0635,108402.0,78075.0,1260045.0,1229718.0,0.0533,0.0909,0.0757,0.0909,,2017556.0,,,23,
2016-09,2016-08-31,2016-09-30,36,37,3,2,0.1389,0.035,0.0229,42914.0,27878.0,1226766.0,1214970.0,0.1389,0.036,0.0244,0.036,,1691923.0,,,20,
2016-10,2016-09-30,2016-10-31,37,38,1,0,0.027,0.0813,0.0762,98854.0,92680.0,1216165.0,1216165.0,0.027,0.0837,0.0786,0.0837,,1897306.0,,,21,
