m,start,end,n0,n1,add,rem,nt,si,se,si_abs,se_abs,sh0,sh0c,ntd,sid,sed,tt,ta,tt_usd,ta_usd,ta_cov,days,partial
2014-11,2014-10-31,2014-11-28,39,39,1,1,0.0513,0.1977,0.1807,74964.0,67293.0,379139.0,372301.0,0.052,0.2136,0.1939,0.2136,,2061418.0,,,19,
2014-12,2014-11-28,2014-12-31,39,38,2,3,0.1282,0.1041,0.0938,44818.0,40110.0,430555.0,427627.0,0.1289,0.1048,0.095,0.1048,,1449701.0,,,22,
2015-01,2014-12-31,2015-01-30,38,39,2,1,0.0789,0.1861,0.1635,83233.0,72651.0,447276.0,444411.0,0.0789,0.3309,0.3224,0.3309,,2730421.0,,,20,
2015-02,2015-01-30,2015-02-27,39,43,5,1,0.1538,0.1368,0.1178,69151.0,59528.0,505583.0,505530.0,0.1471,0.1403,0.1279,0.1403,,1418027.0,,,19,
2015-03,2015-02-27,2015-03-31,43,48,6,1,0.1628,0.1949,0.1201,90762.0,55407.0,465728.0,461509.0,0.1572,0.201,0.1676,0.201,,2058906.0,,,22,
2015-04,2015-03-31,2015-04-30,48,48,4,4,0.1667,0.1669,0.1308,78052.0,60196.0,467766.0,460185.0,0.165,0.2537,0.2267,0.2537,,3353262.0,,,21,
2015-05,2015-04-30,2015-05-29,48,44,0,4,0.0833,0.1422,0.1021,71196.0,48846.0,500739.0,478389.0,0.1287,0.2046,0.1559,0.2046,,2289063.0,,,20,
2015-06,2015-05-29,2015-06-30,44,44,1,1,0.0455,0.1144,0.1111,58698.0,56791.0,512917.0,511285.0,0.046,0.1197,0.1164,0.1197,,1719002.0,,,22,
2015-07,2015-06-30,2015-07-31,44,40,0,4,0.0909,0.2334,0.2265,119208.0,114696.0,510839.0,506327.0,0.0936,0.2495,0.2452,0.2495,,3442760.0,,,22,
2015-08,2015-07-31,2015-08-31,40,40,3,3,0.15,0.1067,0.0769,64914.0,46061.0,608417.0,599133.0,0.1453,0.1088,0.0859,0.1088,,2326211.0,,,21,
2015-09,2015-08-31,2015-09-30,40,39,1,2,0.075,0.4551,0.2224,277438.0,134015.0,609586.0,602663.0,0.0763,0.4414,0.2712,0.4414,,1654223.0,,,21,
2015-10,2015-09-30,2015-10-30,39,37,0,2,0.0513,0.3505,0.3471,230261.0,226798.0,656866.0,653403.0,0.052,0.3469,0.3426,0.3469,,1938077.0,,,22,
2015-11,2015-10-30,2015-11-30,37,39,3,1,0.1081,0.2122,0.1975,164746.0,153251.0,776519.0,776139.0,0.106,0.2139,0.2033,0.2139,,2775848.0,,,20,
2015-12,2015-11-30,2015-12-31,39,39,0,0,0.0,0.077,0.077,64451.0,64451.0,836839.0,836839.0,0.0,0.1074,0.1074,0.1074,,1597159.0,,,22,
2016-01,2015-12-31,2016-01-29,39,35,2,6,0.2051,0.097,0.0622,87215.0,53910.0,899090.0,866509.0,0.2068,0.1055,0.076,0.1055,,2322214.0,,,19,
2016-02,2016-01-29,2016-02-29,35,30,0,5,0.1429,0.1093,0.0725,99870.0,63647.0,914119.0,877896.0,0.1499,0.1168,0.0867,0.1168,,2584880.0,,,20,
2016-03,2016-02-29,2016-03-31,30,31,2,1,0.1,0.0366,0.0276,33521.0,25157.0,916963.0,912479.0,0.1023,0.0366,0.0275,0.0366,,839173.0,,,22,
2016-04,2016-03-31,2016-04-29,31,33,2,0,0.0645,0.0658,0.0619,59983.0,56391.0,911154.0,911154.0,0.0635,0.0668,0.0646,0.0668,,642645.0,,,21,
2016-05,2016-04-29,2016-05-31,33,34,3,2,0.1515,0.0858,0.0744,75169.0,64845.0,875869.0,871989.0,0.1563,0.0865,0.0747,0.0865,,1545306.0,,,21,
2016-06,2016-05-31,2016-06-30,34,34,3,3,0.1765,0.0814,0.0345,71240.0,29876.0,874856.0,866522.0,0.1723,0.0798,0.0606,0.0798,,2516513.0,,,22,
2016-07,2016-06-30,2016-07-29,34,39,7,2,0.2647,0.1124,0.0427,103581.0,38775.0,921656.0,908318.0,0.2479,0.111,0.0652,0.111,,3498072.0,,,20,
2016-08,2016-07-29,2016-08-31,39,39,1,1,0.0513,0.1059,0.0745,101844.0,69369.0,961923.0,931153.0,0.0506,0.1069,0.0897,0.1069,,1761640.0,,,23,
2016-09,2016-08-31,2016-09-30,39,38,1,2,0.0769,0.0534,0.0433,52805.0,42356.0,988759.0,979152.0,0.0769,0.0537,0.0482,0.0537,,1228035.0,,,21,
2016-10,2016-09-30,2016-10-31,38,38,1,1,0.0526,0.0447,0.0362,43694.0,35248.0,978276.0,973335.0,0.052,0.0487,0.0446,0.0487,,1900739.0,,,21,
2016-11,2016-10-31,2016-11-30,38,37,0,1,0.0263,0.1652,0.1288,162229.0,121254.0,982140.0,941165.0,0.0783,0.2655,0.2411,0.2655,,6092378.0,,,21,
2016-12,2016-11-30,2016-12-30,37,36,0,1,0.027,0.0384,0.0335,39460.0,34277.0,1027428.0,1022245.0,0.027,0.0398,0.0358,0.0398,,1067219.0,,,21,
2017-01,2016-12-30,2017-01-31,36,37,1,0,0.0278,0.0804,0.0772,81322.0,78066.0,1011776.0,1011776.0,0.0278,0.1221,0.119,0.1221,,2674403.0,,,20,
2017-02,2017-01-31,2017-02-28,37,37,1,1,0.0541,0.1166,0.1088,125632.0,116319.0,1077732.0,1069589.0,0.0541,0.166,0.1557,0.166,,4095693.0,,,19,
2017-03,2017-02-28,2017-03-31,37,36,0,1,0.027,0.0201,0.0172,22564.0,19282.0,1122892.0,1119610.0,0.027,0.0201,0.0171,0.0201,,865870.0,,,23,
2017-04,2017-03-31,2017-04-28,36,36,0,0,0.0,0.0897,0.0897,100670.0,100670.0,1122372.0,1122372.0,0.0,0.1106,0.1106,0.1106,,2755965.0,,,19,
2017-05,2017-04-28,2017-05-31,36,38,2,0,0.0556,0.4151,0.3948,497615.0,473348.0,1198867.0,1198867.0,0.0556,0.4659,0.4509,0.4659,,14700432.0,,,22,
2017-06,2017-05-31,2017-06-30,38,40,2,0,0.0526,0.2943,0.2846,499353.0,482765.0,1696482.0,1696482.0,0.052,0.505,0.4975,0.505,,20864168.0,,,22,
2017-07,2017-06-30,2017-07-31,40,40,1,1,0.05,0.2533,0.2481,555568.0,542919.0,2193161.0,2188716.0,0.1,0.2657,0.2616,0.2657,,15193934.0,,,20,
2017-08,2017-07-31,2017-08-31,40,41,1,0,0.025,0.2174,0.2001,595508.0,548034.0,2739407.0,2739407.0,0.025,0.3378,0.334,0.3378,,19144678.0,,,23,
2017-09,2017-08-31,2017-09-29,41,43,3,1,0.0976,0.1903,0.1743,552449.0,503399.0,2903503.0,2888297.0,0.0958,0.2034,0.1912,0.2034,,19271181.0,,,20,
2017-10,2017-09-29,2017-10-31,43,42,0,1,0.0233,0.1353,0.1349,444156.0,442620.0,3282229.0,3280693.0,0.0233,0.2099,0.2095,0.2099,,25635154.0,,,22,
2017-11,2017-10-31,2017-11-30,42,42,0,0,0.0,0.4536,0.4536,1639372.0,1639372.0,3614043.0,3614043.0,0.0,0.3946,0.3946,0.3946,,61941461.0,,,20,
2017-12,2017-11-30,2017-12-29,42,42,0,0,0.0,0.2691,0.2691,1413935.0,1413935.0,5253415.0,5253415.0,0.0,0.2712,0.2712,0.2712,,57363619.0,,,20,
2018-01,2017-12-29,2018-01-31,42,44,3,1,0.0952,0.5547,0.4507,3685166.0,2990184.0,6644064.0,6635165.0,0.0953,0.4988,0.4335,0.4988,,125372556.0,,,21,
2018-02,2018-01-31,2018-02-28,44,42,0,2,0.0455,0.2627,0.2417,2390161.0,2138175.0,9099104.0,8847118.0,0.046,0.3869,0.3759,0.3869,,121219831.0,,,18,
2018-03,2018-02-28,2018-03-29,42,42,0,0,0.0,0.2668,0.2668,2848389.0,2848389.0,10674223.0,10674223.0,0.0,0.318,0.318,0.318,,143264764.0,,,21,
2018-04,2018-03-29,2018-04-30,42,41,3,4,0.1667,0.1385,0.1084,1811809.0,1402121.0,13085074.0,12937198.0,0.2239,0.2379,0.2042,0.2379,,128245680.0,,,20,
2018-05,2018-04-30,2018-05-31,41,42,1,0,0.0244,0.0892,0.0796,1204905.0,1074737.0,13502969.0,13502969.0,0.0244,0.1674,0.1661,0.1674,,86570743.0,,,22,
2018-06,2018-05-31,2018-06-29,42,41,0,1,0.0238,0.1484,0.1361,2088897.0,1887312.0,14073370.0,13871785.0,0.0238,0.1965,0.1959,0.1965,,128378002.0,,,21,
2018-07,2018-06-29,2018-07-31,41,43,2,0,0.0488,0.1746,0.1306,2724255.0,2038417.0,15602813.0,15602813.0,0.0482,0.2554,0.2269,0.2554,,180290115.0,,,21,
2018-08,2018-07-31,2018-08-31,43,40,1,4,0.1163,0.1528,0.1097,2686536.0,1840783.0,17578434.0,16778661.0,0.1185,0.2353,0.1905,0.2353,,183701200.0,,,23,
2018-09,2018-08-31,2018-09-28,40,41,1,0,0.025,0.1334,0.1307,2324050.0,2277191.0,17420214.0,17420214.0,0.025,0.1637,0.1609,0.1637,,93301579.0,,,19,
2018-10,2018-09-28,2018-10-31,41,39,3,5,0.1951,0.2297,0.1369,3812492.0,2082969.0,16598234.0,15212043.0,0.2053,0.4323,0.343,0.4323,,246318110.0,,,23,
2018-11,2018-10-31,2018-11-30,39,38,0,1,0.0256,0.2538,0.2152,3667418.0,2956961.0,14449186.0,13738729.0,0.0256,0.3024,0.2724,0.3024,,122105321.0,,,21,
2018-12,2018-11-30,2018-12-31,38,36,1,3,0.1053,0.1822,0.1555,2509211.0,2114418.0,13770954.0,13595891.0,0.1053,0.3468,0.3277,0.3468,,161100903.0,,,19,
2019-01,2018-12-31,2019-01-31,36,35,1,2,0.0833,0.2318,0.1408,2912552.0,1692330.0,12565107.0,12015420.0,0.0833,0.2518,0.1733,0.2518,,88300160.0,,,21,
2019-02,2019-01-31,2019-02-28,35,35,0,0,0.0,0.0832,0.0832,1141337.0,1141337.0,13710435.0,13710435.0,0.0,0.0982,0.0982,0.0982,,48782936.0,,,19,
2019-03,2019-02-28,2019-03-29,35,36,1,0,0.0286,0.1103,0.0971,1566022.0,1378003.0,14198896.0,14198896.0,0.0286,0.1447,0.1396,0.1447,,66718809.0,,,21,
2019-04,2019-03-29,2019-04-30,36,36,0,0,0.0,0.1439,0.1439,2112860.0,2112860.0,14687386.0,14687386.0,0.0,0.1692,0.1692,0.1692,,71491366.0,,,21,
2019-05,2019-04-30,2019-05-31,36,38,2,0,0.0556,0.13,0.1107,1935738.0,1648715.0,14891350.0,14891350.0,0.0548,0.2181,0.2105,0.2181,,121267480.0,,,22,
2019-06,2019-05-31,2019-06-28,38,36,1,3,0.1053,0.1494,0.1285,2219645.0,1865841.0,14855752.0,14525327.0,0.1082,0.1838,0.1816,0.1838,,75577223.0,,,20,
2019-07,2019-06-28,2019-07-31,36,36,0,0,0.0,0.0896,0.0896,1277520.0,1277520.0,14255794.0,14255794.0,0.0,0.1091,0.1091,0.1091,,47058856.0,,,22,
2019-08,2019-07-31,2019-08-30,36,37,3,2,0.1389,0.1882,0.1417,2657836.0,1971989.0,14119350.0,13915971.0,0.1382,0.2358,0.2025,0.2358,,112458358.0,,,22,
2019-09,2019-08-30,2019-09-30,37,38,1,0,0.027,0.0965,0.0957,1253968.0,1243816.0,12994894.0,12994894.0,0.027,0.1078,0.107,0.1078,,41044500.0,,,20,
2019-10,2019-09-30,2019-10-31,38,37,1,2,0.0789,0.2536,0.2292,3030883.0,2662400.0,11949148.0,11618412.0,0.0783,0.2849,0.2582,0.2849,,88006604.0,,,23,
2019-11,2019-10-31,2019-11-29,37,38,1,0,0.027,0.1981,0.1971,2208312.0,2197019.0,11146523.0,11146523.0,0.027,0.2365,0.2357,0.2365,,102132133.0,,,20,
2019-12,2019-11-29,2019-12-31,38,39,1,0,0.0263,0.1208,0.1158,1610335.0,1543144.0,13327731.0,13327731.0,0.0263,0.1436,0.1387,0.1436,,65559414.0,,,21,
2020-01,2019-12-31,2020-01-31,39,42,3,0,0.0769,0.3103,0.2689,4109416.0,3561773.0,13243860.0,13243860.0,0.0756,0.5206,0.489,0.5206,,221744286.0,,,21,
2020-02,2020-01-31,2020-02-28,42,42,1,1,0.0476,0.3157,0.2598,3346490.0,2640235.0,10599422.0,10163048.0,0.0947,0.4021,0.3649,0.4021,,183778391.0,,,19,
2020-03,2020-02-28,2020-03-31,42,42,1,1,0.0476,0.393,0.3755,4935817.0,4674452.0,12560852.0,12448819.0,0.0482,0.5329,0.5137,0.5329,,251348443.0,,,22,
