m,start,end,n0,n1,add,rem,nt,si,se,si_abs,se_abs,sh0,sh0c,ntd,sid,sed,tt,ta,tt_usd,ta_usd,ta_cov,days,partial
2021-04,2021-03-31,2021-04-30,38,38,2,2,0.1053,10.5424,10.5793,10642078.0,10567847.0,1009451.0,998919.0,0.1039,5.4278,5.4222,5.4278,,740179657.0,,,21,
2021-05,2021-04-30,2021-05-28,38,38,3,3,0.1579,0.5692,0.0899,6619596.0,937513.0,11630465.0,10425849.0,0.152,0.6498,0.2953,0.6498,,155486540.0,,,20,
2021-06,2021-05-28,2021-06-30,38,38,0,0,0.0,0.1827,0.1827,2649525.0,2649525.0,14502808.0,14502808.0,0.0,0.2144,0.2144,0.2144,,93314162.0,,,22,
2021-07,2021-06-30,2021-07-30,38,37,1,2,0.0789,0.0983,0.0819,1566375.0,1284702.0,15940440.0,15687901.0,0.0776,0.4018,0.4009,0.4018,,93402265.0,,,21,
2021-08,2021-07-30,2021-08-31,37,36,1,2,0.0811,0.1486,0.1176,2292552.0,1789080.0,15426302.0,15219540.0,0.0818,0.1815,0.1655,0.1815,,82453935.0,,,22,
2021-09,2021-08-31,2021-09-30,36,35,0,1,0.0278,0.1109,0.1109,1836422.0,1835689.0,16557709.0,16556976.0,0.0278,0.1459,0.1459,0.1459,,96940196.0,,,21,
2021-10,2021-09-30,2021-10-28,35,36,1,0,0.0286,0.1208,0.1159,2016782.0,1936003.0,16699293.0,16699293.0,0.3381,1.2706,0.124,1.2706,,234721318.0,,,20,
2021-11,2021-10-28,2021-11-30,36,36,1,1,0.0556,0.0948,0.0764,1706627.0,1375668.0,18001881.0,18001407.0,0.0563,0.1202,0.1018,0.1202,,80363716.0,,,12,
2021-12,2021-11-30,2021-12-31,36,35,0,1,0.0278,0.0363,0.0357,670298.0,659075.0,18454831.0,18443608.0,0.0278,0.0529,0.0529,0.0529,,32845417.0,,,22,
2022-01,2021-12-31,2022-01-31,35,35,0,0,0.0,0.113,0.113,2033854.0,2033854.0,17996429.0,17996429.0,0.0,0.1581,0.1581,0.1581,,63688470.0,,,20,
2022-02,2022-01-31,2022-02-28,35,35,1,1,0.0571,0.0722,0.0714,1225974.0,1212361.0,16988579.0,16988476.0,0.058,0.0724,0.0718,0.0724,,22697517.0,,,19,
2022-03,2022-02-28,2022-03-31,35,34,0,1,0.0286,0.0479,0.0479,810310.0,810210.0,16927237.0,16927137.0,0.0286,0.0479,0.0479,0.0479,,17049172.0,,,23,
2022-04,2022-03-31,2022-04-29,34,34,0,0,0.0,0.0222,0.0222,392580.0,392580.0,17671741.0,17671741.0,0.0,0.0254,0.0254,0.0254,,14014572.0,,,20,
2022-05,2022-04-29,2022-05-31,34,34,0,0,0.0,0.0293,0.0293,516874.0,516874.0,17646351.0,17646351.0,0.0,0.0352,0.0352,0.0352,,15080748.0,,,21,
2022-06,2022-05-31,2022-06-30,34,34,0,0,0.0,0.0586,0.0586,1008386.0,1008386.0,17214954.0,17214954.0,0.0,0.0631,0.0631,0.0631,,19243560.0,,,19,
2022-07,2022-06-30,2022-07-29,34,34,0,0,0.0,0.0327,0.0327,552027.0,552027.0,16862138.0,16862138.0,0.0,0.0344,0.0344,0.0344,,13218522.0,,,20,
2022-08,2022-07-29,2022-08-31,34,34,0,0,0.0,0.0069,0.0069,114266.0,114266.0,16577203.0,16577203.0,0.0,0.007,0.007,0.007,,3331745.0,,,23,
