d,n0,sh0,add,rem,nt,si,se,tt,ta,ta_cov,tt_usd,ta_usd,si_usd
2019-02-08,34,1342378.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2019-02-11,34,1342378.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2019-02-12,34,1342378.0,1,0,0.02941,0.07654,0.05843,0.07654,,,2873717.0,,2873717.0
2019-02-13,35,1410604.0,0,0,0.0,0.02526,0.02526,0.02526,,,1240237.0,,1240237.0
2019-02-14,35,1444861.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2019-02-15,35,1444861.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2019-02-19,35,1444861.0,0,0,0.0,0.04649,0.04649,0.04649,,,2060683.0,,2060683.0
2019-02-20,35,1512028.0,1,0,0.02857,0.00526,0.00251,0.00526,,,896575.0,,896575.0
2019-02-21,36,1512405.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2019-02-22,36,1512405.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2019-02-25,36,1512405.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2019-02-26,36,1512405.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2019-02-27,36,1512405.0,0,0,0.0,0.04442,0.04442,0.04442,,,2109523.0,,2109523.0
2019-02-28,36,1579589.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2019-03-01,36,1579589.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2019-03-04,36,1579589.0,0,0,0.0,0.02127,0.02127,0.02127,,,1042341.0,,1042341.0
2019-03-05,36,1613181.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2019-03-06,36,1613181.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2019-03-07,36,1613181.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2019-03-08,36,1613181.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2019-03-11,36,1613181.0,1,0,0.02778,0.05512,0.04182,0.05512,,,2640344.0,,2640344.0
2019-03-12,37,1698166.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2019-03-13,37,1698166.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2019-03-14,37,1698166.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2019-03-15,37,1698166.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2019-03-18,37,1698166.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
