d,n0,sh0,add,rem,nt,si,se,tt,ta,ta_cov,tt_usd,ta_usd,si_usd
2014-10-31,52,216482.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-03,52,216482.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-04,52,216482.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-05,52,216482.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-06,52,216482.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-07,52,216482.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-10,52,216482.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-11,52,216482.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-12,52,216482.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-13,52,216482.0,1,0,0.01923,0.48858,0.48717,0.48858,,,1072302.0,,1072302.0
2014-11-14,53,320056.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-17,53,320056.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-18,53,320056.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-19,53,320056.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-20,53,320056.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-21,53,320056.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-24,53,320056.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-25,53,320056.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-26,53,320056.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-28,53,320056.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-01,53,320056.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-02,53,320056.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-03,53,320056.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
