d,n0,sh0,add,rem,nt,si,se,tt,ta,ta_cov,tt_usd,ta_usd,si_usd
2014-10-31,49,178019.0,0,0,0.0,0.99901,0.99901,0.99901,,,1992905.0,,1992905.0
2014-11-03,49,355863.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-04,49,355863.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-05,49,355863.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-06,49,355863.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-07,49,355863.0,1,1,0.04082,0.00844,0.00411,0.00844,,,153365.0,,153365.0
2014-11-10,49,356948.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-11,49,356948.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-12,49,356948.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-13,49,356948.0,0,0,0.0,0.00157,0.00157,0.00157,,,40866.0,,40866.0
2014-11-14,49,356788.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-17,49,356788.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-18,49,356788.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-19,49,356788.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-20,49,356788.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-21,49,356788.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-24,49,356788.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-25,49,356788.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-26,49,356788.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-28,49,356788.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-01,49,356788.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-02,49,356788.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-03,49,356788.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-04,49,356788.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-05,49,356788.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-08,49,356788.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-09,49,356788.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-10,49,356788.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-11,49,356788.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-12,49,356788.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-15,49,356788.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
