d,n0,sh0,add,rem,nt,si,se,tt,ta,ta_cov,tt_usd,ta_usd,si_usd
2014-10-31,43,568902.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-03,43,568902.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-04,43,568902.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-05,43,568902.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-06,43,568902.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-07,43,568902.0,0,1,0.02326,0.29859,0.29465,0.29859,,,2050675.0,,2050675.0
2014-11-10,42,732404.0,0,0,0.0,0.00071,0.00071,0.00071,,,6458.0,,6458.0
2014-11-11,42,731884.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-12,42,731884.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-13,42,731884.0,0,0,0.0,0.00451,0.00451,0.00451,,,285885.0,,285885.0
2014-11-14,42,731081.0,0,0,0.0,0.00199,0.00199,0.00199,,,30854.0,,30854.0
2014-11-17,42,732532.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-18,42,732532.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-19,42,732532.0,0,0,0.0,0.00725,0.00725,0.00725,,,107985.0,,107985.0
2014-11-20,42,732547.0,1,0,0.02381,0.002,0.00053,0.002,,,83478.0,,83478.0
2014-11-21,43,734014.0,0,0,0.0,0.00379,0.00379,0.00379,,,157960.0,,157960.0
2014-11-24,43,734241.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-25,43,734241.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-11-26,43,734241.0,0,0,0.0,0.00295,0.00295,0.00295,,,54661.0,,54661.0
2014-11-28,43,734035.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-01,43,734035.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-02,43,734035.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-03,43,734035.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-04,43,734035.0,0,0,0.0,0.00266,0.00266,0.00266,,,61713.0,,61713.0
2014-12-05,43,734680.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-08,43,734680.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-09,43,734680.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-10,43,734680.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-11,43,734680.0,0,1,0.02326,0.02462,0.02248,0.02462,,,585905.0,,585905.0
2014-12-12,42,736304.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-15,42,736304.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-16,42,736304.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-17,42,736304.0,0,0,0.0,0.0,0.0,0.0,,,0.0,,0.0
2014-12-18,42,736304.0,0,0,0.0,0.00109,0.00109,0.00109,,,12000.0,,12000.0
2014-12-19,42,735504.0,0,0,0.0,0.00041,0.00041,0.00041,,,4458.0,,4458.0
